VIGENCIA,CODIGO DANE,MUNICIPIOS,CONSUMO DE ENERGIA Kwh,Valor
2018,41001,Neiva,Residencial,217573973
2018,41006,Acevedo,Residencial,6045233
2018,41013,Agrado,Residencial,2330122
2018,41016,Aipe,Residencial,5696005
2018,41020,Algeciras,Residencial,4997463
2018,41026,Altamira,Residencial,1605644
2018,41078,Baraya,Residencial,1793603
2018,41132,Campoalegre,Residencial,11213397
2018,41206,Colombia,Residencial,1377806
2018,41244,Elias,Residencial,917134
2018,41298,Garzon,Residencial,21571163
2018,41306,Gigante,Residencial,7431065
2018,41319,Guadalupe,Residencial,3987849
2018,41349,Hobo,Residencial,2415207
2018,41357,Iquira,Residencial,2079078
2018,41359,Isnos,Residencial,4500524
2018,41378,La Argentina,Residencial,2295042
2018,41396,La Plata,Residencial,13769308
2018,41483,Nataga,Residencial,1043000
2018,41503,Oporapa,Residencial,2232162
2018,41518,Paicol,Residencial,1685487
2018,41524,Palermo,Residencial,9948659
2018,41530,Palestina,Residencial,1758504
2018,41548,Pital,Residencial,3144845
2018,41551,Pitalito,Residencial,37591704
2018,41615,Rivera,Residencial,10124238
2018,41660,Saladoblanco,Residencial,2039254
2018,41668,San Agustin,Residencial,5943586
2018,41676,Santa Maria,Residencial,2233450
2018,41770,Suaza,Residencial,4855202
2018,41791,Tarqui,Residencial,4068517
2018,41799,Tello,Residencial,3056328
2018,41801,Teruel,Residencial,2207891
2018,41797,Tesalia,Residencial,3219803
2018,41807,Timana,Residencial,4944194
2018,41872,Villavieja,Residencial,2599120
2018,41885,Yaguara,Residencial,3726107
2017,41001,Neiva,Residencial,212832645
2017,41006,Acevedo,Residencial,5867446
2017,41013,Agrado,Residencial,2293164
2017,41016,Aipe,Residencial,5550539
2017,41020,Algeciras,Residencial,4683938
2017,41026,Altamira,Residencial,1596033
2017,41078,Baraya,Residencial,1675116
2017,41132,Campoalegre,Residencial,11251775
2017,41206,Colombia,Residencial,1354224
2017,41548,El Pital,Residencial,3088096
2017,41244,Elias,Residencial,873129
2017,41298,Garzon,Residencial,21593197
2017,41306,Gigante,Residencial,7506371
2017,41319,Guadalupe,Residencial,3932705
2017,41349,Hobo,Residencial,2472902
2017,41357,Iquira,Residencial,2033880
2017,41359,Isnos,Residencial,4481269
2017,41378,La Argentina,Residencial,2270429
2017,41396,La Plata,Residencial,13422656
2017,41483,Nataga,Residencial,1014971
2017,41503,Oporapa,Residencial,2185443
2017,41518,Paicol,Residencial,1627673
2017,41524,Palermo,Residencial,9819288
