VIGENCIA,CODIGO DANE,MUNICIPIOS,SECTORES,Cant
2018,41807,Timana,Riego,0
2018,41801,Teruel,Riego,0
2018,41770,Suaza,Riego,0
2018,41676,Santa Maria,Riego,0
2018,41668,San Agustin,Riego,0
2018,41660,Saladoblanco,Riego,0
2018,41551,Pitalito,Riego,0
2018,41530,Palestina,Riego,0
2018,41518,Paicol,Riego,0
2018,41503,Oporapa,Riego,0
2018,41483,Nataga,Riego,0
2018,41396,La Plata,Riego,0
2018,41378,La Argentina,Riego,0
2018,41359,Isnos,Riego,0
2018,41319,Guadalupe,Riego,0
2018,41306,Gigante,Riego,0
2018,41298,Garzon,Riego,0
2018,41244,Elias,Riego,0
2018,41206,Colombia,Riego,0
2018,41020,Algeciras,Riego,0
2018,41013,Agrado,Riego,0
2018,41006,Acevedo,Riego,0
2017,41807,Timana,Riego,0
2017,41801,Teruel,Riego,0
2017,41770,Suaza,Riego,0
2017,41676,Santa Maria,Riego,0
2017,41668,San Agustin,Riego,0
2017,41660,Saladoblanco,Riego,0
2017,41551,Pitalito,Riego,0
2017,41530,Palestina,Riego,0
2017,41518,Paicol,Riego,0
2017,41503,Oporapa,Riego,0
2017,41483,Nataga,Riego,0
2017,41396,La Plata,Riego,0
2017,41378,La Argentina,Riego,0
2017,41359,Isnos,Riego,0
2017,41319,Guadalupe,Riego,0
2017,41306,Gigante,Riego,0
2017,41298,Garzon,Riego,0
2017,41244,Elias,Riego,0
2017,41206,Colombia,Riego,0
2017,41020,Algeciras,Riego,0
2017,41013,Agrado,Riego,0
2017,41006,Acevedo,Riego,0
2016,41807,Timana,Riego,0
2016,41801,Teruel,Riego,0
2016,41770,Suaza,Riego,0
2016,41676,Santa Maria,Riego,0
2016,41668,San Agustin,Riego,0
2016,41660,Saladoblanco,Riego,0
2016,41551,Pitalito,Riego,0
2016,41548,El Pital,Riego,0
2016,41530,Palestina,Riego,0
2016,41518,Paicol,Riego,0
2016,41503,Oporapa,Riego,0
2016,41483,Nataga,Riego,0
2016,41396,La Plata,Riego,0
2016,41378,La Argentina,Riego,0
2016,41359,Isnos,Riego,0
2016,41349,Hobo,Riego,0
2016,41319,Guadalupe,Riego,0
2016,41306,Gigante,Riego,0
2016,41298,Garzon,Riego,0
2016,41244,Elias,Riego,0
2016,41206,Colombia,Riego,0
2016,41020,Algeciras,Riego,0
2016,41013,Agrado,Riego,0
2016,41006,Acevedo,Riego,0
2015,41807,Timana,Riego,0
2015,41801,Teruel,Riego,0
2015,41770,Suaza,Riego,0
2015,41676,Santa Maria,Riego,0
2015,41668,San Agustin,Riego,0
2015,41660,Saladoblanco,Riego,0
2015,41551,Pitalito,Riego,0
2015,41548,El Pital,Riego,0
2015,41524,Palermo,Riego,0
2015,41518,Paicol,Riego,0
2015,41503,Oporapa,Riego,0
2015,41483,Nataga,Riego,0
2015,41396,La Plata,Riego,0
2015,41378,La Argentina,Riego,0
2015,41357,Iquira,Riego,0
2015,41349,Hobo,Riego,0
2015,41319,Guadalupe,Riego,0
2015,41306,Gigante,Riego,0
2015,41298,Garzon,Riego,0
2015,41244,Elias,Riego,0
2015,41206,Colombia,Riego,0
2015,41020,Algeciras,Riego,0
2015,41006,Acevedo,Riego,0
2014,41807,Timana,Riego,0
2014,41801, Teruel,Riego,0
2014,41770, Suaza,Riego,0
2014,41676,Santa Maria,Riego,0
2014,41668,San Agustin,Riego,0
2014,41660,Saladoblanco,Riego,0
2014,41551, Pitalito,Riego,0
2014,41548, El Pital,Riego,0
2014,41530, Palestina,Riego,0
2014,41518, Paicol,Riego,0
2014,41503, Oporapa,Riego,0
2014,41483,Nataga,Riego,0
2014,41396, La Plata,Riego,0
2014,41378, La Argentina,Riego,0
2014,41359, Isnos,Riego,0
2014,41349, Hobo,Riego,0
2014,41319, Guadalupe,Riego,0
2014,41306, Gigante,Riego,0
2014,41298,Garzon,Riego,0
2014,41244,Elias,Riego,0
2014,41206, Colombia,Riego,0
2014,41020, Algeciras,Riego,0
2014,41013, Agrado,Riego,0
2013,41807,Timana,Riego,0
2013,41801, Teruel,Riego,0
2013,41770, Suaza,Riego,0
2013,41676,Santa Maria,Riego,0
2013,41668,San Agustin,Riego,0
2013,41660,Saladoblanco,Riego,0
2013,41551, Pitalito,Riego,0
2013,41548, Palestina,Riego,0
2013,41524, Paicol,Riego,0
2013,41518, Oporapa,Riego,0
2013,41503,Nataga,Riego,0
2013,41483, La Plata,Riego,0
2013,41396, La Argentina,Riego,0
2013,41378, Isnos,Riego,0
2013,41357, Hobo,Riego,0
2013,41349, Guadalupe,Riego,0
2013,41319, Gigante,Riego,0
2013,41306,Garzon,Riego,0
2013,41298,Elias,Riego,0
