VIGENCIA,CODIGO DANE,MUNICIPIOS,Sectores,CONSUMO DE ENERGIA Kwh
2018,41001,Neiva,Residencial Zona Urbano,210752422
2018,41001,Neiva,Residencial Zona Rural,6821551
2018,41001,Neiva,Comercial Zonas Urbano,81796388
2018,41001,Neiva,Comercial Zonas Rural,1638295
2018,41001,Neiva,Oficial Zonas Urbano,12502755
2018,41001,Neiva,Oficial Zonas Rural,587916
2018,41006,Acevedo,Residencial Zona Urbano,1625643
2018,41006,Acevedo,Residencial Zona Rural,4419590
2018,41006,Acevedo,Comercial Zonas Urbano,1129776
2018,41006,Acevedo,Comercial Zonas Rural,299552
2018,41006,Acevedo,Oficial Zonas Urbano,117918
2018,41006,Acevedo,Oficial Zonas Rural,146368
2018,41013,Agrado,Residencial Zona Urbano,1706533
2018,41013,Agrado,Residencial Zona Rural,623589
2018,41013,Agrado,Comercial Zonas Urbano,247728
2018,41013,Agrado,Comercial Zonas Rural,157784
2018,41013,Agrado,Oficial Zonas Urbano,33804
2018,41013,Agrado,Oficial Zonas Rural,65108
2018,41016,Aipe,Residencial Zona Urbano,4117043
2018,41016,Aipe,Residencial Zona Rural,1578962
2018,41016,Aipe,Comercial Zonas Urbano,989769
2018,41016,Aipe,Comercial Zonas Rural,359750
2018,41016,Aipe,Oficial Zonas Urbano,673253
2018,41016,Aipe,Oficial Zonas Rural,223404
2018,41020,Algeciras,Residencial Zona Urbano,3208594
2018,41020,Algeciras,Residencial Zona Rural,1788869
2018,41020,Algeciras,Comercial Zonas Urbano,716870
2018,41020,Algeciras,Comercial Zonas Rural,63908
2018,41020,Algeciras,Oficial Zonas Urbano,400683
2018,41020,Algeciras,Oficial Zonas Rural,98890
2018,41026,Altamira,Residencial Zona Urbano,1104163
2018,41026,Altamira,Residencial Zona Rural,501481
2018,41026,Altamira,Comercial Zonas Urbano,210466
2018,41026,Altamira,Comercial Zonas Rural,37355
2018,41026,Altamira,Oficial Zonas Urbano,58602
2018,41026,Altamira,Oficial Zonas Rural,5040
2018,41078,Baraya,Residencial Zona Urbano,1239261
2018,41078,Baraya,Residencial Zona Rural,554342
2018,41078,Baraya,Comercial Zonas Urbano,211219
2018,41078,Baraya,Comercial Zonas Rural,61502
2018,41078,Baraya,Oficial Zonas Urbano,178880
2018,41078,Baraya,Oficial Zonas Rural,29508
2018,41132,Campoalegre,Residencial Zona Urbano,8906209
2018,41132,Campoalegre,Residencial Zona Rural,2307188
2018,41132,Campoalegre,Comercial Zonas Urbano,2096251
2018,41132,Campoalegre,Comercial Zonas Rural,596454
2018,41132,Campoalegre,Oficial Zonas Urbano,518779
2018,41132,Campoalegre,Oficial Zonas Rural,62971
2018,41206,Colombia,Residencial Zona Urbano,692981
2018,41206,Colombia,Residencial Zona Rural,684825
2018,41206,Colombia,Comercial Zonas Urbano,98376
2018,41206,Colombia,Comercial Zonas Rural,38065
2018,41206,Colombia,Oficial Zonas Urbano,101200
2018,41206,Colombia,Oficial Zonas Rural,27035
2018,41244,Elias,Residencial Zona Urbano,433678
2018,41244,Elias,Residencial Zona Rural,483456
2018,41244,Elias,Comercial Zonas Urbano,40291
2018,41244,Elias,Comercial Zonas Rural,87951
2018,41244,Elias,Oficial Zonas Urbano,44761
2018,41244,Elias,Oficial Zonas Rural,12632
2018,41298,Garzon,Residencial Zona Urbano,15598161
2018,41298,Garzon,Residencial Zona Rural,5973002
2018,41298,Garzon,Comercial Zonas Urbano,4505389
2018,41298,Garzon,Comercial Zonas Rural,297569
2018,41298,Garzon,Oficial Zonas Urbano,1311949
2018,41298,Garzon,Oficial Zonas Rural,369583
2018,41306,Gigante,Residencial Zona Urbano,4131885
2018,41306,Gigante,Residencial Zona Rural,3299180
2018,41306,Gigante,Comercial Zonas Urbano,2109504
2018,41306,Gigante,Comercial Zonas Rural,167918
2018,41306,Gigante,Oficial Zonas Urbano,234519
2018,41306,Gigante,Oficial Zonas Rural,156432
2018,41319,Guadalupe,Residencial Zona Urbano,1953242
2018,41319,Guadalupe,Residencial Zona Rural,2034607
2018,41319,Guadalupe,Comercial Zonas Urbano,539014
2018,41319,Guadalupe,Comercial Zonas Rural,71628
2018,41319,Guadalupe,Oficial Zonas Urbano,244588
2018,41319,Guadalupe,Oficial Zonas Rural,136963
2018,41349,Hobo,Residencial Zona Urbano,1961530
2018,41349,Hobo,Residencial Zona Rural,453677
2018,41349,Hobo,Comercial Zonas Urbano,420599
2018,41349,Hobo,Comercial Zonas Rural,271785
2018,41349,Hobo,Oficial Zonas Urbano,123126
2018,41349,Hobo,Oficial Zonas Rural,25821
2018,41357,Iquira,Residencial Zona Urbano,1171275
2018,41357,Iquira,Residencial Zona Rural,907803
2018,41357,Iquira,Comercial Zonas Urbano,91573
2018,41357,Iquira,Comercial Zonas Rural,72611
2018,41357,Iquira,Oficial Zonas Urbano,33316
2018,41357,Iquira,Oficial Zonas Rural,46106
2018,41359,Isnos,Residencial Zona Urbano,1735278
2018,41359,Isnos,Residencial Zona Rural,2765246
2018,41359,Isnos,Comercial Zonas Urbano,667394
2018,41359,Isnos,Comercial Zonas Rural,117534
2018,41359,Isnos,Oficial Zonas Urbano,168134
2018,41359,Isnos,Oficial Zonas Rural,74041
2018,41378,La Argentina,Residencial Zona Urbano,1382649
2018,41378,La Argentina,Residencial Zona Rural,912393
2018,41378,La Argentina,Comercial Zonas Urbano,108459
2018,41378,La Argentina,Comercial Zonas Rural,18275
2018,41378,La Argentina,Oficial Zonas Urbano,60938
2018,41378,La Argentina,Oficial Zonas Rural,27342
2018,41396,La Plata,Residencial Zona Urbano,9579908
2018,41396,La Plata,Residencial Zona Rural,4189400
2018,41396,La Plata,Comercial Zonas Urbano,2918413
2018,41396,La Plata,Comercial Zonas Rural,43094
2018,41396,La Plata,Oficial Zonas Urbano,1472917
2018,41396,La Plata,Oficial Zonas Rural,127212
2018,41483,Nataga,Residencial Zona Urbano,576451
2018,41483,Nataga,Residencial Zona Rural,466549
2018,41483,Nataga,Comercial Zonas Urbano,120383
2018,41483,Nataga,Comercial Zonas Rural,1776
2018,41483,Nataga,Oficial Zonas Urbano,40037
2018,41483,Nataga,Oficial Zonas Rural,16719
2018,41503,Oporapa,Residencial Zona Urbano,703921
2018,41503,Oporapa,Residencial Zona Rural,1528241
2018,41503,Oporapa,Comercial Zonas Urbano,178570
2018,41503,Oporapa,Comercial Zonas Rural,38687
2018,41503,Oporapa,Oficial Zonas Urbano,55606
2018,41503,Oporapa,Oficial Zonas Rural,29016
2018,41518,Paicol,Residencial Zona Urbano,933101
2018,41518,Paicol,Residencial Zona Rural,752386
2018,41518,Paicol,Comercial Zonas Urbano,103412
2018,41518,Paicol,Comercial Zonas Rural,804
2018,41518,Paicol,Oficial Zonas Urbano,125125
2018,41518,Paicol,Oficial Zonas Rural,20279
2018,41524,Palermo,Residencial Zona Urbano,7286100
2018,41524,Palermo,Residencial Zona Rural,2662559
2018,41524,Palermo,Comercial Zonas Urbano,1621670
2018,41524,Palermo,Comercial Zonas Rural,3607492
2018,41524,Palermo,Oficial Zonas Urbano,525801
2018,41524,Palermo,Oficial Zonas Rural,198514
2018,41530,Palestina,Residencial Zona Urbano,473683
2018,41530,Palestina,Residencial Zona Rural,1284821
2018,41530,Palestina,Comercial Zonas Urbano,161420
2018,41530,Palestina,Comercial Zonas Rural,92331
2018,41530,Palestina,Oficial Zonas Urbano,45152
2018,41530,Palestina,Oficial Zonas Rural,56454
2018,41548,Pital,Residencial Zona Urbano,1665028
2018,41548,Pital,Residencial Zona Rural,1479817
2018,41548,Pital,Comercial Zonas Urbano,264881
2018,41548,Pital,Comercial Zonas Rural,30756
2018,41548,Pital,Oficial Zonas Urbano,68157
2018,41548,Pital,Oficial Zonas Rural,47696
2018,41551,Pitalito,Residencial Zona Urbano,26404114
2018,41551,Pitalito,Residencial Zona Rural,11187590
2018,41551,Pitalito,Comercial Zonas Urbano,14340369
2018,41551,Pitalito,Comercial Zonas Rural,1496900
2018,41551,Pitalito,Oficial Zonas Urbano,1351838
2018,41551,Pitalito,Oficial Zonas Rural,750720
2018,41615,Rivera,Residencial Zona Urbano,4724966
2018,41615,Rivera,Residencial Zona Rural,5399272
2018,41615,Rivera,Comercial Zonas Urbano,916699
2018,41615,Rivera,Comercial Zonas Rural,1291515
2018,41615,Rivera,Oficial Zonas Urbano,137052
2018,41615,Rivera,Oficial Zonas Rural,854527
2018,41660,Saladoblanco,Residencial Zona Urbano,594049
2018,41660,Saladoblanco,Residencial Zona Rural,1445205
2018,41660,Saladoblanco,Comercial Zonas Urbano,299227
2018,41660,Saladoblanco,Comercial Zonas Rural,35357
2018,41660,Saladoblanco,Oficial Zonas Urbano,86536
2018,41660,Saladoblanco,Oficial Zonas Rural,32637
2018,41668,San Agustin,Residencial Zona Urbano,2874716
2018,41668,San Agustin,Residencial Zona Rural,3068870
2018,41668,San Agustin,Comercial Zonas Urbano,945679
2018,41668,San Agustin,Comercial Zonas Rural,434962
2018,41668,San Agustin,Oficial Zonas Urbano,124847
2018,41668,San Agustin,Oficial Zonas Rural,76176
2018,41676,Santa Maria,Residencial Zona Urbano,1002467
2018,41676,Santa Maria,Residencial Zona Rural,1230983
2018,41676,Santa Maria,Comercial Zonas Urbano,266129
2018,41676,Santa Maria,Comercial Zonas Rural,79681
2018,41676,Santa Maria,Oficial Zonas Urbano,76735
2018,41676,Santa Maria,Oficial Zonas Rural,39619
2018,41770,Suaza,Residencial Zona Urbano,1560725
2018,41770,Suaza,Residencial Zona Rural,3294477
2018,41770,Suaza,Comercial Zonas Urbano,337716
2018,41770,Suaza,Comercial Zonas Rural,161595
2018,41770,Suaza,Oficial Zonas Urbano,205487
2018,41770,Suaza,Oficial Zonas Rural,81542
2018,41791,Tarqui,Residencial Zona Urbano,1684310
2018,41791,Tarqui,Residencial Zona Rural,2384207
2018,41791,Tarqui,Comercial Zonas Urbano,442099
2018,41791,Tarqui,Comercial Zonas Rural,25620
2018,41791,Tarqui,Oficial Zonas Urbano,133188
2018,41791,Tarqui,Oficial Zonas Rural,57408
2018,41799,Tello,Residencial Zona Urbano,1731811
2018,41799,Tello,Residencial Zona Rural,1324517
2018,41799,Tello,Comercial Zonas Urbano,329146
2018,41799,Tello,Comercial Zonas Rural,88211
2018,41799,Tello,Oficial Zonas Urbano,134385
2018,41799,Tello,Oficial Zonas Rural,61360
2018,41801,Teruel,Residencial Zona Urbano,1449440
2018,41801,Teruel,Residencial Zona Rural,758451
