VIGENCIA,CODIGO DANE,MUNICIPIOS,SECTORES,Valor
2014,41001, NEIVA,Alumbrado Público,1
2014,41006, ACEVEDO,Alumbrado Público,1
2014,41013, AGRADO,Alumbrado Público,1
2014,41016, AIPE,Alumbrado Público,1
2014,41020, ALGECIRAS,Alumbrado Público,1
2014,41026, ALTAMIRA,Alumbrado Público,1
2014,41078, BARAYA,Alumbrado Público,1
2014,41132, CAMPOALEGRE,Alumbrado Público,1
2014,41206, COLOMBIA,Alumbrado Público,1
2014,41244, ELIAS,Alumbrado Público,1
2014,41298, GARZON,Alumbrado Público,1
2014,41306, GIGANTE,Alumbrado Público,1
2014,41319, GUADALUPE,Alumbrado Público,1
2014,41349, HOBO,Alumbrado Público,1
2014,41357, IQUIRA,Alumbrado Público,1
2014,41359, ISNOS,Alumbrado Público,1
2014,41378, LA ARGENTINA,Alumbrado Público,1
2014,41396, LA PLATA,Alumbrado Público,1
2014,41483, NATAGA,Alumbrado Público,1
2014,41503, OPORAPA,Alumbrado Público,1
2014,41518, PAICOL,Alumbrado Público,1
2014,41524, PALERMO,Alumbrado Público,1
2014,41530, PALESTINA,Alumbrado Público,1
2014,41548, PITAL,Alumbrado Público,1
2014,41551, PITALITO,Alumbrado Público,1
2014,41615, RIVERA,Alumbrado Público,1
2014,41660, SALADO BLANCO,Alumbrado Público,1
2014,41668, SAN AGUSTIN,Alumbrado Público,1
2014,41676, SANTAMARIA,Alumbrado Público,1
2014,41770, SUAZA,Alumbrado Público,1
2014,41791, TARQUI,Alumbrado Público,1
2014,41799, TELLO,Alumbrado Público,1
2014,41801, TERUEL,Alumbrado Público,1
2014,41797, TESALIA,Alumbrado Público,1
2014,41807, TIMANA,Alumbrado Público,1
2014,41872, VILLAVIEJA,Alumbrado Público,1
2014,41885, YAGUARA,Alumbrado Público,1
2017,41001,Neiva,Alumbrado Público,1
2017,41006,Acevedo,Alumbrado Público,1
2017,41013,Agrado,Alumbrado Público,1
2017,41016,Aipe,Alumbrado Público,1
2017,41020,Algeciras,Alumbrado Público,1
2017,41026,Altamira,Alumbrado Público,1
