VIGENCIA,CODIGO DANE,MUNICIPIOS,Sectores,Valor
2013,41001, NEIVA,Zonas Residencial Urbano,95417
2013,41001, NEIVA,Zonas Residencial Rural,6361
2013,41001, NEIVA,Zonas Comercial Urbano,8664
2013,41001, NEIVA,Zonas Comercial Rural,95
2013,41001, NEIVA,Zonas Oficial Urbano,441
2013,41001, NEIVA,Zonas Oficial Rural,146
2013,41006, ACEVEDO,Zonas Residencial Urbano,1352
2013,41006, ACEVEDO,Zonas Residencial Rural,5505
2013,41006, ACEVEDO,Zonas Comercial Urbano,156
2013,41006, ACEVEDO,Zonas Comercial Rural,49
2013,41006, ACEVEDO,Zonas Oficial Urbano,18
2013,41006, ACEVEDO,Zonas Oficial Rural,112
2013,41013, AGRADO,Zonas Residencial Urbano,1553
2013,41013, AGRADO,Zonas Residencial Rural,1026
2013,41013, AGRADO,Zonas Comercial Urbano,72
2013,41013, AGRADO,Zonas Comercial Rural,14
2013,41013, AGRADO,Zonas Oficial Urbano,17
2013,41013, AGRADO,Zonas Oficial Rural,26
2013,41016, AIPE,Zonas Residencial Urbano,2881
2013,41016, AIPE,Zonas Residencial Rural,2322
2013,41016, AIPE,Zonas Comercial Urbano,151
2013,41016, AIPE,Zonas Comercial Rural,30
2013,41016, AIPE,Zonas Oficial Urbano,35
2013,41016, AIPE,Zonas Oficial Rural,67
2013,41020, ALGECIRAS,Zonas Residencial Urbano,2871
2013,41020, ALGECIRAS,Zonas Residencial Rural,3143
2013,41020, ALGECIRAS,Zonas Comercial Urbano,193
2013,41020, ALGECIRAS,Zonas Comercial Rural,6
2013,41020, ALGECIRAS,Zonas Oficial Urbano,23
2013,41020, ALGECIRAS,Zonas Oficial Rural,76
2013,41026, ALTAMIRA,Zonas Residencial Urbano,852
2013,41026, ALTAMIRA,Zonas Residencial Rural,370
2013,41026, ALTAMIRA,Zonas Comercial Urbano,59
2013,41026, ALTAMIRA,Zonas Comercial Rural,8
2013,41026, ALTAMIRA,Zonas Oficial Urbano,19
2013,41026, ALTAMIRA,Zonas Oficial Rural,6
2013,41078, BARAYA,Zonas Residencial Urbano,1092
2013,41078, BARAYA,Zonas Residencial Rural,1121
2013,41078, BARAYA,Zonas Comercial Urbano,69
2013,41078, BARAYA,Zonas Comercial Rural,3
2013,41078, BARAYA,Zonas Oficial Urbano,14
2013,41078, BARAYA,Zonas Oficial Rural,48
2013,41132, CAMPOALEGRE,Zonas Residencial Urbano,6779
2013,41132, CAMPOALEGRE,Zonas Residencial Rural,2250
2013,41132, CAMPOALEGRE,Zonas Comercial Urbano,401
2013,41132, CAMPOALEGRE,Zonas Comercial Rural,31
2013,41132, CAMPOALEGRE,Zonas Oficial Urbano,54
2013,41132, CAMPOALEGRE,Zonas Oficial Rural,45
2013,41206, COLOMBIA,Zonas Residencial Urbano,749
2013,41206, COLOMBIA,Zonas Residencial Rural,1859
2013,41206, COLOMBIA,Zonas Comercial Urbano,26
2013,41206, COLOMBIA,Zonas Comercial Rural,9
2013,41206, COLOMBIA,Zonas Oficial Urbano,19
2013,41206, COLOMBIA,Zonas Oficial Rural,65
2013,41244, ELIAS,Zonas Residencial Urbano,11211
2013,41244, ELIAS,Zonas Residencial Rural,8232
2013,41244, ELIAS,Zonas Comercial Urbano,1232
2013,41244, ELIAS,Zonas Comercial Rural,63
2013,41244, ELIAS,Zonas Oficial Urbano,82
2013,41244, ELIAS,Zonas Oficial Rural,122
2013,41298, GARZON,Zonas Residencial Urbano,3142
2013,41298, GARZON,Zonas Residencial Rural,3978
2013,41298, GARZON,Zonas Comercial Urbano,252
2013,41298, GARZON,Zonas Comercial Rural,42
2013,41298, GARZON,Zonas Oficial Urbano,27
2013,41298, GARZON,Zonas Oficial Rural,62
2013,41306, GIGANTE,Zonas Residencial Urbano,1546
2013,41306, GIGANTE,Zonas Residencial Rural,3469
2013,41306, GIGANTE,Zonas Comercial Urbano,134
2013,41306, GIGANTE,Zonas Comercial Rural,11
2013,41306, GIGANTE,Zonas Oficial Urbano,19
2013,41306, GIGANTE,Zonas Oficial Rural,55
2013,41319, GUADALUPE,Zonas Residencial Urbano,1556
2013,41319, GUADALUPE,Zonas Residencial Rural,619
2013,41319, GUADALUPE,Zonas Comercial Urbano,69
2013,41319, GUADALUPE,Zonas Comercial Rural,6
2013,41319, GUADALUPE,Zonas Oficial Urbano,15
2013,41319, GUADALUPE,Zonas Oficial Rural,7
2013,41349, HOBO,Zonas Residencial Urbano,1334
2013,41349, HOBO,Zonas Residencial Rural,1997
2013,41349, HOBO,Zonas Comercial Urbano,53
2013,41349, HOBO,Zonas Comercial Rural,11
2013,41349, HOBO,Zonas Oficial Urbano,21
2013,41349, HOBO,Zonas Oficial Rural,51
2013,41357, IQUIRA,Zonas Residencial Urbano,1447
2013,41357, IQUIRA,Zonas Residencial Rural,4331
2013,41357, IQUIRA,Zonas Comercial Urbano,158
2013,41357, IQUIRA,Zonas Comercial Rural,16
2013,41357, IQUIRA,Zonas Oficial Urbano,17
2013,41357, IQUIRA,Zonas Oficial Rural,102
2013,41359, ISNOS,Zonas Residencial Urbano,1455
2013,41359, ISNOS,Zonas Residencial Rural,1733
2013,41359, ISNOS,Zonas Comercial Urbano,41
2013,41359, ISNOS,Zonas Comercial Rural,5
2013,41359, ISNOS,Zonas Oficial Urbano,22
2013,41359, ISNOS,Zonas Oficial Rural,31
2013,41378, LA ARGENTINA,Zonas Residencial Urbano,7652
2013,41378, LA ARGENTINA,Zonas Residencial Rural,6469
2013,41378, LA ARGENTINA,Zonas Comercial Urbano,708
2013,41378, LA ARGENTINA,Zonas Comercial Rural,13
2013,41378, LA ARGENTINA,Zonas Oficial Urbano,95
2013,41378, LA ARGENTINA,Zonas Oficial Rural,158
2013,41396, LA PLATA,Zonas Residencial Urbano,674
2013,41396, LA PLATA,Zonas Residencial Rural,945
2013,41396, LA PLATA,Zonas Comercial Urbano,39
2013,41396, LA PLATA,Zonas Comercial Rural,2
2013,41396, LA PLATA,Zonas Oficial Urbano,46
2013,41396, LA PLATA,Zonas Oficial Rural,29
2013,41483, NATAGA,Zonas Residencial Urbano,555
2013,41483, NATAGA,Zonas Residencial Rural,2064
2013,41483, NATAGA,Zonas Comercial Urbano,37
2013,41483, NATAGA,Zonas Comercial Rural,7
2013,41483, NATAGA,Zonas Oficial Urbano,18
2013,41483, NATAGA,Zonas Oficial Rural,36
2013,41503, OPORAPA,Zonas Residencial Urbano,848
2013,41503, OPORAPA,Zonas Residencial Rural,1066
2013,41503, OPORAPA,Zonas Comercial Urbano,29
2013,41503, OPORAPA,Zonas Comercial Rural,3
2013,41503, OPORAPA,Zonas Oficial Urbano,19
2013,41503, OPORAPA,Zonas Oficial Rural,35
2013,41518, PAICOL,Zonas Residencial Urbano,4933
2013,41518, PAICOL,Zonas Residencial Rural,2968
2013,41518, PAICOL,Zonas Comercial Urbano,307
2013,41518, PAICOL,Zonas Comercial Rural,120
2013,41518, PAICOL,Zonas Oficial Urbano,55
2013,41518, PAICOL,Zonas Oficial Rural,85
2013,41524, PALERMO,Zonas Residencial Urbano,488
2013,41524, PALERMO,Zonas Residencial Rural,2241
2013,41524, PALERMO,Zonas Comercial Urbano,65
2013,41524, PALERMO,Zonas Comercial Rural,6
2013,41524, PALERMO,Zonas Oficial Urbano,17
2013,41524, PALERMO,Zonas Oficial Rural,67
2013,41530, PALESTINA,Zonas Residencial Urbano,1544
2013,41530, PALESTINA,Zonas Residencial Rural,2404
2013,41530, PALESTINA,Zonas Comercial Urbano,99
2013,41530, PALESTINA,Zonas Comercial Rural,11
2013,41530, PALESTINA,Zonas Oficial Urbano,20
2013,41530, PALESTINA,Zonas Oficial Rural,56
2013,41548, PITAL,Zonas Residencial Urbano,340
2013,41548, PITAL,Zonas Residencial Rural,744
2013,41548, PITAL,Zonas Comercial Urbano,7
2013,41548, PITAL,Zonas Comercial Rural,7
2013,41548, PITAL,Zonas Oficial Urbano,13
2013,41548, PITAL,Zonas Oficial Rural,19
2013,41551, PITALITO,Zonas Residencial Urbano,19220
2013,41551, PITALITO,Zonas Residencial Rural,12022
2013,41551, PITALITO,Zonas Comercial Urbano,2584
2013,41551, PITALITO,Zonas Comercial Rural,191
2013,41551, PITALITO,Zonas Oficial Urbano,113
2013,41551, PITALITO,Zonas Oficial Rural,198
2013,41615, RIVERA,Zonas Residencial Urbano,2999
2013,41615, RIVERA,Zonas Residencial Rural,2955
2013,41615, RIVERA,Zonas Comercial Urbano,151
2013,41615, RIVERA,Zonas Comercial Rural,79
2013,41615, RIVERA,Zonas Oficial Urbano,22
2013,41615, RIVERA,Zonas Oficial Rural,41
2013,41660, SALADO BLANCO,Zonas Residencial Urbano,500
2013,41660, SALADO BLANCO,Zonas Residencial Rural,2196
2013,41660, SALADO BLANCO,Zonas Comercial Urbano,63
2013,41660, SALADO BLANCO,Zonas Comercial Rural,6
2013,41660, SALADO BLANCO,Zonas Oficial Urbano,19
2013,41660, SALADO BLANCO,Zonas Oficial Rural,47
2013,41668, SAN AGUSTIN,Zonas Residencial Urbano,2734
2013,41668, SAN AGUSTIN,Zonas Residencial Rural,5324
2013,41668, SAN AGUSTIN,Zonas Comercial Urbano,306
2013,41668, SAN AGUSTIN,Zonas Comercial Rural,35
2013,41668, SAN AGUSTIN,Zonas Oficial Urbano,37
2013,41668, SAN AGUSTIN,Zonas Oficial Rural,145
2013,41676, SANTAMARIA,Zonas Residencial Urbano,949
2013,41676, SANTAMARIA,Zonas Residencial Rural,2007
2013,41676, SANTAMARIA,Zonas Comercial Urbano,78
2013,41676, SANTAMARIA,Zonas Comercial Rural,8
2013,41676, SANTAMARIA,Zonas Oficial Urbano,22
2013,41676, SANTAMARIA,Zonas Oficial Rural,50
2013,41770, SUAZA,Zonas Residencial Urbano,1062
2013,41770, SUAZA,Zonas Residencial Rural,3304
2013,41770, SUAZA,Zonas Comercial Urbano,93
2013,41770, SUAZA,Zonas Comercial Rural,31
2013,41770, SUAZA,Zonas Oficial Urbano,13
2013,41770, SUAZA,Zonas Oficial Rural,64
2013,41791, TARQUI,Zonas Residencial Urbano,1341
2013,41791, TARQUI,Zonas Residencial Rural,3296
2013,41791, TARQUI,Zonas Comercial Urbano,92
2013,41791, TARQUI,Zonas Comercial Rural,20
2013,41791, TARQUI,Zonas Oficial Urbano,16
2013,41791, TARQUI,Zonas Oficial Rural,64
2013,41799, TELLO,Zonas Residencial Urbano,2234
2013,41799, TELLO,Zonas Residencial Rural,955
2013,41799, TELLO,Zonas Comercial Urbano,92
2013,41799, TELLO,Zonas Comercial Rural,4
2013,41799, TELLO,Zonas Oficial Urbano,32
2013,41799, TELLO,Zonas Oficial Rural,25
2013,41801, TERUEL,Zonas Residencial Urbano,1442
2013,41801, TERUEL,Zonas Residencial Rural,2285
2013,41801, TERUEL,Zonas Comercial Urbano,32
2013,41801, TERUEL,Zonas Comercial Rural,9
2013,41801, TERUEL,Zonas Oficial Urbano,16
2013,41801, TERUEL,Zonas Oficial Rural,70
2013,41797, TESALIA,Zonas Residencial Urbano,1211
2013,41797, TESALIA,Zonas Residencial Rural,1196
2013,41797, TESALIA,Zonas Comercial Urbano,65
2013,41797, TESALIA,Zonas Comercial Rural,4
2013,41797, TESALIA,Zonas Oficial Urbano,25
2013,41797, TESALIA,Zonas Oficial Rural,26
2013,41807, TIMANA,Zonas Residencial Urbano,2033
2013,41807, TIMANA,Zonas Residencial Rural,3758
2013,41807, TIMANA,Zonas Comercial Urbano,207
2013,41807, TIMANA,Zonas Comercial Rural,19
2013,41807, TIMANA,Zonas Oficial Urbano,30
2013,41807, TIMANA,Zonas Oficial Rural,56
2013,41872, VILLAVIEJA,Zonas Residencial Urbano,815
2013,41872, VILLAVIEJA,Zonas Residencial Rural,1333
2013,41872, VILLAVIEJA,Zonas Comercial Urbano,17
2013,41872, VILLAVIEJA,Zonas Comercial Rural,10
2013,41872, VILLAVIEJA,Zonas Oficial Urbano,15
2013,41872, VILLAVIEJA,Zonas Oficial Rural,41
2013,41885, YAGUARA,Zonas Residencial Urbano,1937
2013,41885, YAGUARA,Zonas Residencial Rural,700
2013,41885, YAGUARA,Zonas Comercial Urbano,71
2013,41885, YAGUARA,Zonas Comercial Rural,18
2013,41885, YAGUARA,Zonas Oficial Urbano,36
2013,41885, YAGUARA,Zonas Oficial Rural,12
2014,41001, NEIVA,Zonas Residencial Urbano,100266
2014,41001, NEIVA,Zonas Residencial Rural,6681
2014,41001, NEIVA,Zonas Comercial Urbano,8905
2014,41001, NEIVA,Zonas Comercial Rural,95
2014,41001, NEIVA,Zonas Oficial Urbano,281
2014,41001, NEIVA,Zonas Oficial Rural,123
2014,41006, ACEVEDO,Zonas Residencial Urbano,1410
2014,41006, ACEVEDO,Zonas Residencial Rural,5689
2014,41006, ACEVEDO,Zonas Comercial Urbano,170
2014,41006, ACEVEDO,Zonas Comercial Rural,43
2014,41006, ACEVEDO,Zonas Oficial Urbano,12
2014,41006, ACEVEDO,Zonas Oficial Rural,91
2014,41013, AGRADO,Zonas Residencial Urbano,1660
2014,41013, AGRADO,Zonas Residencial Rural,1007
2014,41013, AGRADO,Zonas Comercial Urbano,74
2014,41013, AGRADO,Zonas Comercial Rural,18
2014,41013, AGRADO,Zonas Oficial Urbano,13
2014,41013, AGRADO,Zonas Oficial Rural,23
2014,41016, AIPE,Zonas Residencial Urbano,2986
2014,41016, AIPE,Zonas Residencial Rural,2335
2014,41016, AIPE,Zonas Comercial Urbano,145
2014,41016, AIPE,Zonas Comercial Rural,30
2014,41016, AIPE,Zonas Oficial Urbano,30
2014,41016, AIPE,Zonas Oficial Rural,56
2014,41020, ALGECIRAS,Zonas Residencial Urbano,2936
2014,41020, ALGECIRAS,Zonas Residencial Rural,3170
2014,41020, ALGECIRAS,Zonas Comercial Urbano,199
2014,41020, ALGECIRAS,Zonas Comercial Rural,6
2014,41020, ALGECIRAS,Zonas Oficial Urbano,22
2014,41020, ALGECIRAS,Zonas Oficial Rural,71
2014,41026, ALTAMIRA,Zonas Residencial Urbano,885
2014,41026, ALTAMIRA,Zonas Residencial Rural,384
2014,41026, ALTAMIRA,Zonas Comercial Urbano,63
2014,41026, ALTAMIRA,Zonas Comercial Rural,8
2014,41026, ALTAMIRA,Zonas Oficial Urbano,16
2014,41026, ALTAMIRA,Zonas Oficial Rural,6
2014,41078, BARAYA,Zonas Residencial Urbano,1095
2014,41078, BARAYA,Zonas Residencial Rural,1130
2014,41078, BARAYA,Zonas Comercial Urbano,62
2014,41078, BARAYA,Zonas Comercial Rural,4
2014,41078, BARAYA,Zonas Oficial Urbano,14
2014,41078, BARAYA,Zonas Oficial Rural,45
2014,41132, CAMPOALEGRE,Zonas Residencial Urbano,6963
2014,41132, CAMPOALEGRE,Zonas Residencial Rural,2272
2014,41132, CAMPOALEGRE,Zonas Comercial Urbano,412
2014,41132, CAMPOALEGRE,Zonas Comercial Rural,33
2014,41132, CAMPOALEGRE,Zonas Oficial Urbano,46
2014,41132, CAMPOALEGRE,Zonas Oficial Rural,38
2014,41206, COLOMBIA,Zonas Residencial Urbano,777
2014,41206, COLOMBIA,Zonas Residencial Rural,1885
2014,41206, COLOMBIA,Zonas Comercial Urbano,27
2014,41206, COLOMBIA,Zonas Comercial Rural,8
2014,41206, COLOMBIA,Zonas Oficial Urbano,17
2014,41206, COLOMBIA,Zonas Oficial Rural,64
2014,41244, ELIAS,Zonas Residencial Urbano,395
2014,41244, ELIAS,Zonas Residencial Rural,710
2014,41244, ELIAS,Zonas Comercial Urbano,7
2014,41244, ELIAS,Zonas Comercial Rural,7
2014,41244, ELIAS,Zonas Oficial Urbano,11
2014,41244, ELIAS,Zonas Oficial Rural,20
2014,41298, GARZON,Zonas Residencial Urbano,11878
2014,41298, GARZON,Zonas Residencial Rural,8692
2014,41298, GARZON,Zonas Comercial Urbano,1252
2014,41298, GARZON,Zonas Comercial Rural,70
2014,41298, GARZON,Zonas Oficial Urbano,53
2014,41298, GARZON,Zonas Oficial Rural,112
2014,41306, GIGANTE,Zonas Residencial Urbano,3302
2014,41306, GIGANTE,Zonas Residencial Rural,4068
2014,41306, GIGANTE,Zonas Comercial Urbano,242
2014,41306, GIGANTE,Zonas Comercial Rural,45
2014,41306, GIGANTE,Zonas Oficial Urbano,24
2014,41306, GIGANTE,Zonas Oficial Rural,57
2014,41319, GUADALUPE,Zonas Residencial Urbano,1575
2014,41319, GUADALUPE,Zonas Residencial Rural,3602
2014,41319, GUADALUPE,Zonas Comercial Urbano,137
