VIGENCIA,CODIGO DANE,MUNICIPIOS,USUARIOS,Valor
2018,41001,Neiva,Residencial,123342
2018,41006,Acevedo,Residencial,7864
2018,41013,Agrado,Residencial,3092
2018,41016,Aipe,Residencial,5734
2018,41020,Algeciras,Residencial,6555
2018,41026,Altamira,Residencial,1502
2018,41078,Baraya,Residencial,2239
2018,41132,Campoalegre,Residencial,9957
2018,41206,Colombia,Residencial,2809
2018,41244,Elias,Residencial,1376
2018,41298,Garzon,Residencial,23179
2018,41306,Gigante,Residencial,8081
2018,41319,Guadalupe,Residencial,5682
2018,41349,Hobo,Residencial,2614
2018,41357,Iquira,Residencial,3537
2018,41359,Isnos,Residencial,6959
2018,41378,La Argentina,Residencial,3978
2018,41396,La Plata,Residencial,17109
2018,41483,Nataga,Residencial,1941
2018,41503,Oporapa,Residencial,3262
2018,41518,Paicol,Residencial,2261
2018,41524,Palermo,Residencial,8721
2018,41530,Palestina,Residencial,3083
2018,41548,Pital,Residencial,4605
2018,41551,Pitalito,Residencial,39603
2018,41615,Rivera,Residencial,7732
2018,41660,Saladoblanco,Residencial,3227
2018,41668,San Agustin,Residencial,9360
2018,41676,Santa Maria,Residencial,3248
2018,41770,Suaza,Residencial,5849
2018,41791,Tarqui,Residencial,5346
2018,41799,Tello,Residencial,3947
2018,41801,Teruel,Residencial,2663
2018,41797,Tesalia,Residencial,3592
2018,41807,Timana,Residencial,6588
2018,41872,Villavieja,Residencial,2400
2018,41885,Yaguara,Residencial,2802
2017,41001,Neiva,Residencial,119228
2017,41006,Acevedo,Residencial,7675
2017,41013,Agrado,Residencial,2999
2017,41016,Aipe,Residencial,5581
2017,41020,Algeciras,Residencial,6382
2017,41026,Altamira,Residencial,1472
2017,41078,Baraya,Residencial,2233
2017,41132,Campoalegre,Residencial,9721
2017,41206,Colombia,Residencial,2778
2017,41548,El Pital,Residencial,4508
2017,41244,Elias,Residencial,1265
2017,41298,Garzon,Residencial,22730
2017,41306,Gigante,Residencial,8000
2017,41319,Guadalupe,Residencial,5564
2017,41349,Hobo,Residencial,2591
2017,41357,Iquira,Residencial,3485
2017,41359,Isnos,Residencial,6671
2017,41378,La Argentina,Residencial,3766
2017,41396,La Plata,Residencial,16707
2017,41483,Nataga,Residencial,1917
2017,41503,Oporapa,Residencial,3153
2017,41518,Paicol,Residencial,2160
2017,41524,Palermo,Residencial,8614
2017,41530,Palestina,Residencial,3043
2017,41551,Pitalito,Residencial,38035
2017,41615,Rivera,Residencial,7388
2017,41660,Saladoblanco,Residencial,2988
2017,41668,San Agustin,Residencial,9157
2017,41676,Santa Maria,Residencial,3144
2017,41770,Suaza,Residencial,5376
2017,41791,Tarqui,Residencial,5186
2017,41799,Tello,Residencial,3935
2017,41801,Teruel,Residencial,2619
2017,41797,Tesalia,Residencial,3508
2017,41807,Timana,Residencial,6420
2017,41872,Villavieja,Residencial,2288
2017,41885,Yaguara,Residencial,2773
2016,41001,Neiva,Residencial,115044
2016,41006,Acevedo,Residencial,7566
2016,41013,Agrado,Residencial,2963
2016,41016,Aipe,Residencial,5378
2016,41020,Algeciras,Residencial,6281
2016,41026,Altamira,Residencial,1443
2016,41078,Baraya,Residencial,2227
2016,41132,Campoalegre,Residencial,9633
2016,41206,Colombia,Residencial,2771
2016,41244,Elias,Residencial,1232
2016,41298,Garzon,Residencial,22120
2016,41306,Gigante,Residencial,7854
2016,41319,Guadalupe,Residencial,5478
2016,41349,Hobo,Residencial,2576
2016,41357,Iquira,Residencial,3450
2016,41359,Isnos,Residencial,6246
2016,41378,La Argentina,Residencial,3701
2016,41396,La Plata,Residencial,16130
2016,41483,Nataga,Residencial,1875
2016,41503,Oporapa,Residencial,3132
2016,41518,Paicol,Residencial,2138
2016,41524,Palermo,Residencial,8474
2016,41530,Palestina,Residencial,3001
2016,41548,Pital,Residencial,4436
2016,41551,Pitalito,Residencial,36672
2016,41615,Rivera,Residencial,7137
2016,41660,Saladoblanco,Residencial,2937
2016,41668,San Agustin,Residencial,8921
2016,41676,Santa Maria,Residencial,3126
2016,41770,Suaza,Residencial,5090
2016,41791,Tarqui,Residencial,5100
2016,41799,Tello,Residencial,3917
2016,41801,Teruel,Residencial,2596
2016,41797,Tesalia,Residencial,3441
2016,41807,Timana,Residencial,6319
2016,41872,Villavieja,Residencial,2271
2016,41885,Yaguara,Residencial,2729
2015,41001,Neiva,Residencial,113888
2015,41006,Acevedo,Residencial,7491
2015,41013,Agrado,Residencial,2851
2015,41016,Aipe,Residencial,5482
2015,41020,Algeciras,Residencial,6323
2015,41026,Altamira,Residencial,1370
2015,41078,Baraya,Residencial,2296
2015,41132,Campoalegre,Residencial,9537
2015,41206,Colombia,Residencial,2751
2015,41244,Elias,Residencial,4285
2015,41298,Garzon,Residencial,1130
2015,41306,Gigante,Residencial,21404
2015,41319,Guadalupe,Residencial,7543
2015,41349,Hobo,Residencial,5339
2015,41357,Iquira,Residencial,2421
2015,41359,Isnos,Residencial,3467
2015,41378,La Argentina,Residencial,6151
2015,41396,La Plata,Residencial,3611
2015,41483,Nataga,Residencial,15461
2015,41503,Oporapa,Residencial,1755
2015,41518,Paicol,Residencial,3003
2015,41524,Palermo,Residencial,2077
2015,41530,Palestina,Residencial,8477
2015,41548,Pital,Residencial,2909
2015,41551,Pitalito,Residencial,35350
2015,41615,Rivera,Residencial,6888
2015,41660,Saladoblanco,Residencial,2887
2015,41668,San Agustin,Residencial,8764
2015,41676,Santa Maria,Residencial,3128
2015,41770,Suaza,Residencial,4919
2015,41791,Tarqui,Residencial,4998
2015,41799,Tello,Residencial,3982
2015,41801,Teruel,Residencial,2579
2015,41797,Tesalia,Residencial,3350
2015,41807,Timana,Residencial,6096
2015,41872,Villavieja,Residencial,2230
2015,41885,Yaguara,Residencial,2770
2014,41001, NEIVA,Residencial,106947
2014,41006, ACEVEDO,Residencial,7099
2014,41013, AGRADO,Residencial,2667
2014,41016, AIPE,Residencial,5321
2014,41020, ALGECIRAS,Residencial,6106
2014,41026, ALTAMIRA,Residencial,1269
2014,41078, BARAYA,Residencial,2225
2014,41132, CAMPOALEGRE,Residencial,9235
2014,41206, COLOMBIA,Residencial,2662
2014,41244,Elias,Residencial,1105
2014,41298,Garzon,Residencial,20570
2014,41306, GIGANTE,Residencial,7370
2014,41319, GUADALUPE,Residencial,5177
2014,41349, HOBO,Residencial,2243
2014,41357, IQUIRA,Residencial,3375
2014,41359, ISNOS,Residencial,5986
2014,41378, LA ARGENTINA,Residencial,3392
2014,41396, LA PLATA,Residencial,14735
2014,41483,Nataga,Residencial,1676
2014,41503, OPORAPA,Residencial,2819
2014,41518, PAICOL,Residencial,1988
2014,41524, PALERMO,Residencial,8198
2014,41530, PALESTINA,Residencial,2829
2014,41548,Pital,Residencial,4190
2014,41551, PITALITO,Residencial,32561
2014,41615, RIVERA,Residencial,6417
2014,41660,Saladoblanco,Residencial,2748
2014,41668,San Agustin,Residencial,8318
2014,41676,Santa Maria,Residencial,3033
2014,41770, SUAZA,Residencial,4593
2014,41791, TARQUI,Residencial,4859
2014,41799, TELLO,Residencial,3734
2014,41801, TERUEL,Residencial,2515
2014,41797, TESALIA,Residencial,3291
2014,41807,Timana,Residencial,5896
2014,41872, VILLAVIEJA,Residencial,2174
2014,41885,Yaguara,Residencial,2683
2013,41001, NEIVA,Residencial,101476
2013,41006, ACEVEDO,Residencial,6857
2013,41013, AGRADO,Residencial,2579
2013,41016, AIPE,Residencial,5203
2013,41020, ALGECIRAS,Residencial,6014
2013,41026, ALTAMIRA,Residencial,1222
2013,41078, BARAYA,Residencial,2213
2013,41132, CAMPOALEGRE,Residencial,9029
2013,41206, COLOMBIA,Residencial,2608
2013,41244, EL PITAL,Residencial,3948
2013,41298,Elias,Residencial,1084
2013,41306,Garzon,Residencial,19436
2013,41319, GIGANTE,Residencial,7118
2013,41349, GUADALUPE,Residencial,5015
2013,41357, HOBO,Residencial,2174
2013,41359, IQUIRA,Residencial,3328
2013,41378, ISNOS,Residencial,5778
2013,41396, LA ARGENTINA,Residencial,3188
2013,41483, LA PLATA,Residencial,14121
2013,41503,Nataga,Residencial,1619
2013,41518, OPORAPA,Residencial,2619
2013,41524, PAICOL,Residencial,1914
2013,41530, PALERMO,Residencial,7898
2013,41548, PALESTINA,Residencial,2729
2013,41551, PITALITO,Residencial,31209
2013,41615, RIVERA,Residencial,5946
2013,41660,Saladoblanco,Residencial,2696
2013,41668,San Agustin,Residencial,8058
2013,41676,Santa Maria,Residencial,2956
2013,41770, SUAZA,Residencial,4366
2013,41791, TARQUI,Residencial,4637
2013,41799, TELLO,Residencial,3727
2013,41801, TERUEL,Residencial,2407
2013,41797, TESALIA,Residencial,3189
2013,41807,Timana,Residencial,5791
2013,41872, VILLAVIEJA,Residencial,2148
2013,41885,Yaguara,Residencial,2634
2018,41001,Neiva,Comercial,10803
2018,41006,Acevedo,Comercial,303
2018,41013,Agrado,Comercial,109
2018,41016,Aipe,Comercial,209
2018,41020,Algeciras,Comercial,284
2018,41026,Altamira,Comercial,97
