MUNICIPIOS,VIGENCIA,PRODUCCION EN JAULAS Y JAULONES TILAPIA PESO DE LA COSECHA Kg,PRODUCCION EN JAULAS Y JAULONES TILAPIA No. ALEVINOS S,PRODUCCION EN JAULAS Y JAULONES TILAPIA No. ALEVINOS C,PRODUCCION EN JAULAS Y JAULONES TILAPIA PESO PROM UNIDAD (Gs),PRODUCCIÒN EN ESTANQUES TILAPIA ROJA PESO DE LA COSECHA Kg,PRODUCCIÒN EN ESTANQUES TILAPIA ROJA No. ALEVINOS S,PRODUCCIÒN EN ESTANQUES TILAPIA ROJA No. ALEVINOS C,PRODUCCIÒN EN ESTANQUES TILAPIA ROJA PESO PROM UNIDAD (Gs),PRODUCCIÒN EN ESTANQUES CACHAMA PESO DE LA COSECHA Kg,PRODUCCIÒN EN ESTANQUES CACHAMA No. ALEVINOS S,PRODUCCIÒN EN ESTANQUES CACHAMA No. ALEVINOS C,PRODUCCIÒN EN ESTANQUES CACHAMA PESO PROM UNIDAD (Gs),PRODUCCIÒN EN ESTANQUES CARPA No. ALEVINOS PRODUCCIÒN EN ESTANQUES CARPA PESO DE LA COSECHA Kg,PRODUCCIÒN EN ESTANQUES CARPA No. ALEVINOS S,PRODUCCIÒN EN ESTANQUES CARPA No. ALEVINOS C,PRODUCCIÒN EN ESTANQUES CARPA PESO PROM UNIDAD (Gs),PRODUCCIÓN EN ESTANQUES TRUCHA PESO DE LA COSECHA Kg,PRODUCCIÓN EN ESTANQUES TRUCHA No. ALEVINOS S,PRODUCCIÓN EN ESTANQUES TRUCHA No. ALEVINOS C,PRODUCCIÓN EN ESTANQUES TRUCHA PESO PROM UNIDAD (Gs),PRODUCCIÓN EN ESTANQUES MOJARRA PLATEADA PESO DE LA COSECHA Kg,PRODUCCIÓN EN ESTANQUES MOJARRA PLATEADA No. ALEVINOS S,PRODUCCIÓN EN ESTANQUES MOJARRA PLATEADA No. ALEVINOS C,PRODUCCIÓN EN ESTANQUES MOJARRA PLATEADA PESO PROM UNIDAD (Gs),PRODUCCIÓN EN ESTANQUES BOCACHICO PESO DE LA COSECHA Kg,PRODUCCIÓN EN ESTANQUES BOCACHICO No. ALEVINOS S,PRODUCCIÓN EN ESTANQUES BOCACHICO No. ALEVINOS C,PRODUCCIÓN EN ESTANQUES BOCACHICO PESO PROM UNIDAD (Gs),PRODUCCIÓN EN ESTANQUES SABALO PESO DE LA COSECHA Kg,PRODUCCIÓN EN ESTANQUES SABALO No. ALEVINOS S,PRODUCCIÓN EN ESTANQUES SABALO No. ALEVINOS C,PRODUCCIÓN EN ESTANQUES SABALO PESO PROM UNIDAD (Gs),PRODUCCIÒN TOTAL PESO DE LA COSECHA Kg,PRODUCCIÒN TOTAL No. ALEVINOS S,PRODUCCIÒN TOTAL No. ALEVINOS C
Neiva,2012,0,0,0,0,255.000,800.000,750.000,340,500,1.000,930,538,0,0,0,0,1.571,3.500,3.255,483,0,0,0,0,0,0,0,0,800,1.800,1.656,483,257.871,806.300,755.841
Aipe,2012,0,0,0,0,2.250.000,7.600.000,6.460.000,348,503.426,1.297.000,1.176.491,428,0,0,0,0,0,0,0,0,0,0,0,0,1.001,3.400,2.925,342,154.186,352.550,333.606,462,2.908.613,9.252.950,7.973.022
Algeciras,2012,0,0,0,0,17.500,36.000,35.000,500,1.000,3.000,2.000,500,0,0,0,0,4.500,15.000,13.200,341,0,0,0,0,1.520,4.000,3.900,390,5.720,16.250,14.300,400,30.240,74.250,68.400
Baraya,2012,0,0,0,0,261.947,800.000,710.000,369,18.846,25.000,23.250,811,25,50,47,538,0,0,0,0,0,0,0,0,0,0,0,0,3.000,5.000,4.615,650,283.818,830.050,737.912
Campoalegre,2012,14.160.000,49.500.000,39.600.000,358,147.000,500000,425.000,346,5.180,7.200,6.696,774,15,25,23,645,0,0,0,0,0,0,0,0,1.550,3.500,3.220,481,500,1.000,900,556,14.314.245,50.011.725,40.035.839
Colombia,2012,0,0,0,0,11.000,35.000,32.000,344,4.538,10.800,9.137,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.538,45.800,41.137
Hobo,2012,3.685.000,12.800.000,10.240.000,360,598,2000,1.850,323,12.000,16.500,15.345,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.697.598,12.818.500,10.257.195
Iquira,2012,0,0,0,0,8.000,27.000,25.000,320,2.925,7.650,6.500,450,0,0,0,0,2.250,5.000,4.500,500,0,0,0,0,0,0,0,0,212,500,450,471,13.387,40.150,36.450
Palermo,2012,0,0,0,0,179.920,572.000,525.000,343,37.440,70.000,65.000,576,0,0,0,0,0,0,0,0,0,0,0,0,2.800,7.500,6.850,409,500,1.200,1.104,453,220.660,650.700,597.954
Rivera,2012,0,0,0,0,144.990,450.000,414.000,350,13.662,45.000,41.400,330,400,1.400,1.400,286,0,0,0,0,0,0,0,0,3.050,10.000,9.200,332,3.800,10.000,9.200,413,165.902,516.400,475.200
Santa Maria,2012,0,0,0,0,1.500,4.500,3.900,385,0,0,0,0,0,0,0,0,7.160,11.000,10.500,682,0,0,0,0,0,0,0,0,0,0,0,0,8.660,15.500,14.400
Tello,2012,0,0,0,0,6.817,22.500,19.574,348,2.931,6.250,3.030,967,0,0,0,0,0,0,0,0,0,0,0,0,1.568,6.000,5.200,302,608,1.300,1.254,485,11.924,36.050,29.058
Teruel,2012,0,0,0,0,1.250,3.000,2.500,500,1.000,2.200,2.000,500,0,0,0,0,3.750,8.000,7.500,500,0,0,0,0,0,0,0,0,1.250,1.800,2.500,500,7.250,15.000,14.500
