MUNICIPIOS,VIGENCIA,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES POSTURA TOTAL Aves Año,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES POSTURA TOTAL  HUEVOS AÑO,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE TOTAL AVES AÑO,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE AVES POR CICLO,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE CICLOS Año,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE TOTAL AVES PRODUCIDOS*,O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE TOTAL  CARNE (Kgs),O T R A S   E S P E C I E S   P E C U A R I A S APICULTURA Número O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE de Colmenas,O T R A S   E S P E C I E S   P E C U A R I A S APICULTURA Producción O T R A S   E S P E C I E S   P E C U A R I A S AVICULTURA AVES DE ENGORDE Miel Kgs,O T R A S   E S P E C I E S   P E C U A R I A S APICULTURA Precio al  Productor $/Kl,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES CABALLAR,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES ASNAL,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES MULAR,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES BUFALINA,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES CUNICOLA,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES CUYICOLA,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES OVINA,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES CAPRINA,INVENTARIO ANIMALES DE LABOR Y OTRAS ESPECIES OTROS
Neiva,2012,240.000,69.600.000,880.000,146.667,"6,00",792.000,1.306.800,500,9.000,12.000,3.450,710,2.450,127,300,200,1.700,1.800,
Aipe,2012,2.000,580.000,280.000,56.000,"5,00",252.000,415.800,200,3.000,15.000,1.425,550,412,22,0,0,210,110,
Algeciras,2012,2.400,696.000,25.000,8.333,"3,00",23.000,37.950,515,20.600,20.000,1.450,30,1.050,14,0,0,0,0,
Baraya,2012,2.400,696.000,20.000,5.000,"4,00",18.000,29.700,0,0,,1.180,345,180,89,0,0,4.580,4.120,
Campoalegre,2012,16.500,4.785.000,86.000,17.200,"5,00",77.400,127.710,25,1.400,2.000,1.983,84,450,48,0,0,56,76,
Colombia,2012,3.000,870.000,16.000,2.667,"6,00",14.400,23.760,80,960,15.000,4.200,1.200,2.800,178,0,0,2.500,3.200,
Hobo,2012,3.200,928.000,19.000,4.750,"4,00",17.100,28.215,0,,,3.500,700,2.500,12,200,180,1.650,1.600,
Iquira,2012,4.200,1.218.000,16.000,4.000,"4,00",14.720,24.288,20,200,15.000,2.000,300,250,17,50,50,40,40,
Palermo,2012,205.000,59.450.000,635.000,105.833,"6,00",571.500,942.975,150,2.700,8.000,2.000,300,250,54,150,50,50,40,
Rivera,2012,295.000,85.550.000,470.000,78.333,"6,00",423.000,697.950,0,,,115,300,265,39,0,0,100,100,
Santa Maria,2012,3.000,870.000,20.000,6.667,"3,00",18.400,30.360,150,6.000,18.000,350,40,60,16,200,150,400,100,
Tello,2012,6.000,1.740.000,10.000,2.500,"4,00",9.000,14.850,50,900,20.000,3.000,800,1.000,1,0,0,350,400,
Teruel,2012,4.800,1.392.000,10.000,3.333,"3,00",9.000,14.850,9,720,15.000,253,223,65,7,0,0,13,35,
Villavieja,2012,1.000,290.000,10.000,2.500,"4,00",9.000,14.850,0,,,1.125,475,115,130,0,0,3.950,4.280,
