Orden,Codigo_DANE,Dpto,Municipio,ICLD_2020_Millones,FUN_2020_LEY_617_Millones,FUN20_ICLD20,Categoria,Region,Limite,Admon_Central_Cumple,No_de_Concejales,Sesiones_ordinarias_extras,ICLD_Adicional,Honorarios_por_sesion_pesos,Honorarios_totales_Millones,Gastos_Generales,Total_Concejo_Millones,Transferencia_Concejo_FUT_Millones,Transferencia_Concejo_Cumple,Personeria_Proporcion_SMLM,Limite_Personeria,Transferencia_Personeria_Municipal_Millones,Cumple_Personeria_Cumple,Limite_Contraloria,Transferencia_Contraloria,Cumple_Contraloria_Cumple
605,41001,HUILA,NEIVA,"106.729,16","66921,01","62,70",1,NORTE,65,OK,19,190,"1,5",437725,"1580,19","1600,94","3181,12","3142,48",OK,"0,017","1814,40","1880,50",1,"2420,214851","2406,864693",OK
606,41006,HUILA,ACEVEDO,"3.581,21","1515,31","42,31",6,SUR,80,OK,13,90,"1,5",129191,"151,15","53,72","204,87","195,91",OK,150,"131,67","129,70",OK,NA,N.D,NA
607,41013,HUILA,AGRADO,"2.438,48","1122,09","46,02",6,ORIENTE,80,OK,9,90,"1,5",129191,"104,64","36,58","141,22","132,69",OK,150,"131,67","122,75",OK,NA,N.D,NA
608,41016,HUILA,AIPE,"4.611,55","3062,45","66,41",6,NORTE,80,OK,11,90,"1,5",129191,"127,90","69,17","197,07","178,39",OK,150,"131,67","128,52",OK,NA,N.D,NA
609,41020,HUILA,ALGECIRAS,"3.539,59","1956,73","55,28",6,NORTE,80,OK,13,90,"1,5",129191,"151,15","53,09","204,25","191,76",OK,150,"131,67","129,38",OK,NA,N.D,NA
610,41026,HUILA,ALTAMIRA,"1.514,40","684,79","45,22",6,ORIENTE,80,OK,7,90,"1,5",129191,"81,39","52,67","134,06","104,90",OK,150,"131,67","127,41",OK,NA,N.D,NA
611,41078,HUILA,BARAYA,"2.754,70","1428,32","51,85",6,NORTE,80,OK,9,90,"1,5",129191,"104,64","41,32","145,97","135,88",OK,150,"131,67","131,66",OK,NA,N.D,NA
612,41132,HUILA,CAMPOALEGRE,"4.687,92","3013,11","64,27",6,NORTE,80,OK,13,90,"1,5",129191,"151,15","70,32","221,47","220,20",OK,150,"131,67","176,77",1,NA,N.D,NA
613,41206,HUILA,COLOMBIA,"2.505,51","991,32","39,57",6,NORTE,80,OK,11,90,"1,5",129191,"127,90","37,58","165,48","156,98",OK,150,"131,67","128,66",OK,NA,N.D,NA
614,41244,HUILA,ELIAS,"2.075,83","1008,96","48,61",6,SUR,80,OK,7,90,"1,5",129191,"81,39","52,67","134,06","104,50",OK,150,"131,67","131,65",OK,NA,N.D,NA
