DANE,MUNICIPIO,VIGENCIA,INDICADOR,CALIFICACIÓN
41006,ACEVEDO,2020,"0,83",Incumplimiento bajo
41013,AGRADO,2020,"0,87",Incumplimiento bajo
41020,ALGECIRAS,2020,"0,83",Incumplimiento bajo
41026,ALTAMIRA,2020,"0,85",Incumplimiento bajo
41078,BARAYA,2020,"0,94",Incumplimiento bajo
41132,CAMPOALEGRE,2020,"0,92",Incumplimiento bajo
41244,ELÍAS,2020,"0,85",Incumplimiento bajo
41298,GARZÓN,2020,"0,95",Incumplimiento bajo
41306,GIGANTE,2020,"0,87",Incumplimiento bajo
41319,GUADALUPE,2020,"0,95",Incumplimiento bajo
41349,HOBO,2020,"0,94",Incumplimiento bajo
41359,ISNOS,2020,"0,89",Incumplimiento bajo
41378,LA ARGENTINA,2020,"0,95",Incumplimiento bajo
41396,LA PLATA,2020,"0,93",Incumplimiento bajo
41503,OPORAPA,2020,"0,92",Incumplimiento bajo
41518,PAICOL,2020,"0,94",Incumplimiento bajo
41524,PALERMO,2020,"0,91",Incumplimiento bajo
41530,PALESTINA,2020,"0,94",Incumplimiento bajo
41615,RIVERA,2020,"0,88",Incumplimiento bajo
41660,SALADOBLANCO,2020,"0,90",Incumplimiento bajo
41676,SANTA MARÍA,2020,"0,86",Incumplimiento bajo
41770,SUAZA,2020,"0,90",Incumplimiento bajo
41791,TARQUI,2020,"0,93",Incumplimiento bajo
41797,TESALIA,2020,"0,94",Incumplimiento bajo
41799,TELLO,2020,"0,88",Incumplimiento bajo
41872,VILLA VIEJA,2020,"0,87",Incumplimiento bajo
41885,YAGUARÁ,2020,"0,87",Incumplimiento bajo
41001,NEIVA,2019,"0,91",Incumplimiento bajo
41006,ACEVEDO,2019,"0,93",Incumplimiento bajo
41013,AGRADO,2019,"0,91",Incumplimiento bajo
41244,ELÍAS,2019,"0,84",Incumplimiento bajo
41306,GIGANTE,2019,"0,82",Incumplimiento bajo
41319,GUADALUPE,2019,"0,94",Incumplimiento bajo
41349,HOBO,2019,"0,95",Incumplimiento bajo
41357,ÍQUIRA,2019,"0,90",Incumplimiento bajo
41359,ISNOS,2019,"0,95",Incumplimiento bajo
41483,NÁTAGA,2019,"0,95",Incumplimiento bajo
41530,PALESTINA,2019,"0,93",Incumplimiento bajo
41548,PITAL,2019,"0,93",Incumplimiento bajo
41615,RIVERA,2019,"0,87",Incumplimiento bajo
41872,VILLA VIEJA,2019,"0,93",Incumplimiento bajo
41013,AGRADO,2018,"0,83",Incumplimiento bajo
41016,AIPE,2018,"0,83",Incumplimiento bajo
41020,ALGECIRAS,2018,"0,94",Incumplimiento bajo
41026,ALTAMIRA,2018,"0,85",Incumplimiento bajo
41078,BARAYA,2018,"0,84",Incumplimiento bajo
41206,COLOMBIA,2018,"0,95",Incumplimiento bajo
41306,GIGANTE,2018,"0,89",Incumplimiento bajo
41319,GUADALUPE,2018,"0,94",Incumplimiento bajo
41349,HOBO,2018,"0,94",Incumplimiento bajo
41357,ÍQUIRA,2018,"0,87",Incumplimiento bajo
41359,ISNOS,2018,"0,93",Incumplimiento bajo
41396,LA PLATA,2018,"0,94",Incumplimiento bajo
41503,OPORAPA,2018,"0,95",Incumplimiento bajo
41518,PAICOL,2018,"0,91",Incumplimiento bajo
41524,PALERMO,2018,"0,94",Incumplimiento bajo
41530,PALESTINA,2018,"0,93",Incumplimiento bajo
41615,RIVERA,2018,"0,94",Incumplimiento bajo
41676,SANTA MARÍA,2018,"0,91",Incumplimiento bajo
41791,TARQUI,2018,"0,81",Incumplimiento bajo
41801,TERUEL,2018,"0,85",Incumplimiento bajo
41807,TIMANA,2018,"0,93",Incumplimiento bajo
41872,VILLA VIEJA,2018,"0,88",Incumplimiento bajo
41885,YAGUARÁ,2018,"0,93",Incumplimiento bajo
41006,ACEVEDO,2017,"0,85",Incumplimiento bajo
41013,AGRADO,2017,"0,90",Incumplimiento bajo
41016,AIPE,2017,"0,87",Incumplimiento bajo
41020,ALGECIRAS,2017,"0,91",Incumplimiento bajo
41078,BARAYA,2017,"0,81",Incumplimiento bajo
41132,CAMPOALEGRE,2017,"0,93",Incumplimiento bajo
41298,GARZÓN,2017,"0,94",Incumplimiento bajo
