DANE,MUNICIPIO,VIGENCIA,INDICADOR,CALIFICACIÓN
41006,ACEVEDO,2020,"82,86 %",Incumplimiento bajo
41013,AGRADO,2020,"86,87 %",Incumplimiento bajo
41020,ALGECIRAS,2020,"82,57 %",Incumplimiento bajo
41026,ALTAMIRA,2020,"84,64 %",Incumplimiento bajo
41078,BARAYA,2020,"94,47 %",Incumplimiento bajo
41132,CAMPOALEGRE,2020,"91,95 %",Incumplimiento bajo
41244,ELÍAS,2020,"85,42 %",Incumplimiento bajo
41298,GARZÓN,2020,"94,82 %",Incumplimiento bajo
41306,GIGANTE,2020,"87,19 %",Incumplimiento bajo
41319,GUADALUPE,2020,"94,55 %",Incumplimiento bajo
41349,HOBO,2020,"94,49 %",Incumplimiento bajo
41359,ISNOS,2020,"89,10 %",Incumplimiento bajo
41378,LA ARGENTINA,2020,"94,55 %",Incumplimiento bajo
41396,LA PLATA,2020,"93,49 %",Incumplimiento bajo
41503,OPORAPA,2020,"91,71 %",Incumplimiento bajo
41518,PAICOL,2020,"94,05 %",Incumplimiento bajo
41524,PALERMO,2020,"90,67 %",Incumplimiento bajo
41530,PALESTINA,2020,"94,26 %",Incumplimiento bajo
41615,RIVERA,2020,"88,18 %",Incumplimiento bajo
41660,SALADOBLANCO,2020,"90,33 %",Incumplimiento bajo
41676,SANTA MARÍA,2020,"86,12 %",Incumplimiento bajo
41770,SUAZA,2020,"89,84 %",Incumplimiento bajo
41791,TARQUI,2020,"93,20 %",Incumplimiento bajo
41797,TESALIA,2020,"94,43 %",Incumplimiento bajo
41799,TELLO,2020,"88,47 %",Incumplimiento bajo
41872,VILLA VIEJA,2020,"87,24 %",Incumplimiento bajo
41885,YAGUARÁ,2020,"87,06 %",Incumplimiento bajo
41001,NEIVA,2019,"90,54 %",Incumplimiento bajo
41006,ACEVEDO,2019,"92,72 %",Incumplimiento bajo
41013,AGRADO,2019,"91,25 %",Incumplimiento bajo
41244,ELÍAS,2019,"84,49 %",Incumplimiento bajo
41306,GIGANTE,2019,"81,93 %",Incumplimiento bajo
41319,GUADALUPE,2019,"94,24 %",Incumplimiento bajo
41349,HOBO,2019,"94,99 %",Incumplimiento bajo
41357,ÍQUIRA,2019,"89,53 %",Incumplimiento bajo
41359,ISNOS,2019,"94,88 %",Incumplimiento bajo
41483,NÁTAGA,2019,"94,84 %",Incumplimiento bajo
41530,PALESTINA,2019,"92,76 %",Incumplimiento bajo
41548,PITAL,2019,"93,14 %",Incumplimiento bajo
41615,RIVERA,2019,"87,28 %",Incumplimiento bajo
41872,VILLA VIEJA,2019,"92,77 %",Incumplimiento bajo
41013,AGRADO,2018,"83,27 %",Incumplimiento bajo
41016,AIPE,2018,"82,59 %",Incumplimiento bajo
41020,ALGECIRAS,2018,"93,87 %",Incumplimiento bajo
41026,ALTAMIRA,2018,"84,64 %",Incumplimiento bajo
41078,BARAYA,2018,"83,76 %",Incumplimiento bajo
41206,COLOMBIA,2018,"94,89 %",Incumplimiento bajo
41306,GIGANTE,2018,"89,01 %",Incumplimiento bajo
41319,GUADALUPE,2018,"94,15 %",Incumplimiento bajo
41349,HOBO,2018,"93,72 %",Incumplimiento bajo
41357,ÍQUIRA,2018,"87,17 %",Incumplimiento bajo
41359,ISNOS,2018,"93,09 %",Incumplimiento bajo
41396,LA PLATA,2018,"93,60 %",Incumplimiento bajo
41503,OPORAPA,2018,"94,72 %",Incumplimiento bajo
41518,PAICOL,2018,"90,76 %",Incumplimiento bajo
41524,PALERMO,2018,"93,79 %",Incumplimiento bajo
41530,PALESTINA,2018,"92,82 %",Incumplimiento bajo
