Codigo DANE,Municipio,VIGENCIA,Dotaciones Iniciales,Nuevo IDF 2019,Rango 
41349,HOBO,2019,G3,"57,65",2. Riesgo (>=40 y <60)
41013,AGRADO,2019,G3,"67,75",3. Vulnerable (>=60 y <70)
41319,GUADALUPE,2019,G5,"65,71",3. Vulnerable (>=60 y <70)
41359,ISNOS,2019,G5,"55,61",2. Riesgo (>=40 y <60)
41078,BARAYA,2019,G3,"64,68",3. Vulnerable (>=60 y <70)
41797,TESALIA,2019,G1,"65,56",3. Vulnerable (>=60 y <70)
41020,ALGECIRAS,2019,G4,"62,42",3. Vulnerable (>=60 y <70)
41668,SAN AGUSTIN,2019,G4,"63,38",3. Vulnerable (>=60 y <70)
41006,ACEVEDO,2019,G5,"66,28",3. Vulnerable (>=60 y <70)
41396,LA PLATA,2019,G4,"68,51",3. Vulnerable (>=60 y <70)
41615,RIVERA,2019,G2,"64,00",3. Vulnerable (>=60 y <70)
41770,SUAZA,2019,G4,"69,88",3. Vulnerable (>=60 y <70)
41524,PALERMO,2019,G1,"75,73",4. Solvente (>=70 y <80)
41518,PAICOL,2019,G2,"60,40",3. Vulnerable (>=60 y <70)
41885,YAGUARA,2019,G1,"57,62",2. Riesgo (>=40 y <60)
41660,SALADOBLANCO,2019,G4,"61,53",3. Vulnerable (>=60 y <70)
41016,AIPE,2019,G2,"64,32",3. Vulnerable (>=60 y <70)
41807,TIMANA,2019,G4,"66,05",3. Vulnerable (>=60 y <70)
41872,VILLAVIEJA,2019,G3,"54,34",2. Riesgo (>=40 y <60)
41483,NATAGA,2019,G4,"66,30",3. Vulnerable (>=60 y <70)
41551,PITALITO,2019,G2,"66,41",3. Vulnerable (>=60 y <70)
41548,PITAL,2019,G4,"54,58",2. Riesgo (>=40 y <60)
41298,GARZON,2019,G3,"58,10",2. Riesgo (>=40 y <60)
41378,LA ARGENTINA,2019,G5,"58,75",2. Riesgo (>=40 y <60)
41530,PALESTINA,2019,G5,"61,89",3. Vulnerable (>=60 y <70)
41791,TARQUI,2019,G5,"54,26",2. Riesgo (>=40 y <60)
41206,COLOMBIA,2019,G5,"65,91",3. Vulnerable (>=60 y <70)
41799,TELLO,2019,G3,"61,18",3. Vulnerable (>=60 y <70)
41026,ALTAMIRA,2019,G2,"59,17",2. Riesgo (>=40 y <60)
41001,NEIVA,2019,G1,"57,27",2. Riesgo (>=40 y <60)
41244,ELIAS,2019,G4,"54,40",2. Riesgo (>=40 y <60)
41132,CAMPOALEGRE,2019,G2,"64,88",3. Vulnerable (>=60 y <70)
41801,TERUEL,2019,G4,"59,99",2. Riesgo (>=40 y <60)
41676,SANTA MARIA,2019,G4,"54,99",2. Riesgo (>=40 y <60)
41357,IQUIRA,2019,G5,"56,59",2. Riesgo (>=40 y <60)
41503,OPORAPA,2019,G5,"58,99",2. Riesgo (>=40 y <60)
41306,GIGANTE,2019,G2,"60,33",3. Vulnerable (>=60 y <70)
41349,HOBO,2020,G3,"67,71",3. Vulnerable (>=60 y <70)
41013,AGRADO,2020,G3,"63,59",3. Vulnerable (>=60 y <70)
41319,GUADALUPE,2020,G4,"63,00",3. Vulnerable (>=60 y <70)
41359,ISNOS,2020,G5,"62,42",3. Vulnerable (>=60 y <70)
41078,BARAYA,2020,G3,"61,33",3. Vulnerable (>=60 y <70)
41797,TESALIA,2020,G3,"61,22",3. Vulnerable (>=60 y <70)
41020,ALGECIRAS,2020,G4,"61,18",3. Vulnerable (>=60 y <70)
41668,SAN AGUSTIN,2020,G5,"60,96",3. Vulnerable (>=60 y <70)
41006,ACEVEDO,2020,G4,"60,92",3. Vulnerable (>=60 y <70)
41396,LA PLATA,2020,G4,"60,92",3. Vulnerable (>=60 y <70)
41615,RIVERA,2020,G2,"60,31",3. Vulnerable (>=60 y <70)
41770,SUAZA,2020,G5,"59,89",2. Riesgo (>=40 y <60)
41524,PALERMO,2020,G1,"59,53",2. Riesgo (>=40 y <60)
41518,PAICOL,2020,G2,"59,38",2. Riesgo (>=40 y <60)
41885,YAGUARA,2020,G1,"58,20",2. Riesgo (>=40 y <60)
41660,SALADOBLANCO,2020,G5,"56,64",2. Riesgo (>=40 y <60)
41016,AIPE,2020,G1,"56,51",2. Riesgo (>=40 y <60)
41807,TIMANA,2020,G4,"55,93",2. Riesgo (>=40 y <60)
41872,VILLAVIEJA,2020,G3,"55,61",2. Riesgo (>=40 y <60)
41483,NATAGA,2020,G4,"54,87",2. Riesgo (>=40 y <60)
41551,PITALITO,2020,G2,"54,46",2. Riesgo (>=40 y <60)
41548,PITAL,2020,G4,"54,35",2. Riesgo (>=40 y <60)
41298,GARZON,2020,G3,"54,10",2. Riesgo (>=40 y <60)
41378,LA ARGENTINA,2020,G5,"53,94",2. Riesgo (>=40 y <60)
41530,PALESTINA,2020,G5,"52,74",2. Riesgo (>=40 y <60)
41791,TARQUI,2020,G5,"52,59",2. Riesgo (>=40 y <60)
41206,COLOMBIA,2020,G4,"52,41",2. Riesgo (>=40 y <60)
41799,TELLO,2020,G3,"51,68",2. Riesgo (>=40 y <60)
41026,ALTAMIRA,2020,G2,"51,66",2. Riesgo (>=40 y <60)
41001,NEIVA,2020,G1,"51,00",2. Riesgo (>=40 y <60)
41244,ELIAS,2020,G4,"50,36",2. Riesgo (>=40 y <60)
41132,CAMPOALEGRE,2020,G2,"50,33",2. Riesgo (>=40 y <60)
41801,TERUEL,2020,G4,"50,25",2. Riesgo (>=40 y <60)
41676,SANTA MARIA,2020,G4,"48,96",2. Riesgo (>=40 y <60)
41357,IQUIRA,2020,G5,"46,17",2. Riesgo (>=40 y <60)
41503,OPORAPA,2020,G5,"45,77",2. Riesgo (>=40 y <60)
41306,GIGANTE,2020,G2,"44,47",2. Riesgo (>=40 y <60)
