Código DANE,Municipio,Categoría,Límite %,VIGENCIA,INDICADOR,Estado del indicador
41006,Acevedo,6,"0,8",2016,"0,46",Cumple
41013,Agrado,6,"0,8",2016,"0,46",Cumple
41016,Aipe,6,"0,8",2016,"0,64",Cumple
41020,Algeciras,6,"0,8",2016,"0,59",Cumple
41026,Altamira,6,"0,8",2016,"0,36",Cumple
41078,Baraya,6,"0,8",2016,"0,59",Cumple
41132,Campoalegre,6,"0,8",2016,"0,62",Cumple
41206,Colombia,6,"0,8",2016,"0,42",Cumple
41244,Elías,6,"0,8",2016,"0,56",Cumple
41298,Garzón,6,"0,8",2016,"0,54",Cumple
41306,Gigante,6,"0,8",2016,"0,29",Cumple
41319,Guadalupe,6,"0,8",2016,"0,48",Cumple
41349,Hobo,6,"0,8",2016,"0,37",Cumple
41357,Íquira,6,"0,8",2016,"0,77",Cumple
41359,Isnos,6,"0,8",2016,"0,64",Cumple
41378,La Argentina,6,"0,8",2016,"0,57",Cumple
41396,La Plata,6,"0,8",2016,"0,52",Cumple
41483,Nátaga,6,"0,8",2016,"0,50",Cumple
41503,Oporapa,6,"0,8",2016,"0,49",Cumple
41518,Paicol,6,"0,8",2016,"0,36",Cumple
41524,Palermo,6,"0,8",2016,"0,31",Cumple
41530,Palestina,6,"0,8",2016,"0,51",Cumple
41548,Pital,6,"0,8",2016,"0,49",Cumple
41615,Rivera,6,"0,8",2016,"0,46",Cumple
41660,Saladoblanco,6,"0,8",2016,"0,70",Cumple
41668,San Agustín,6,"0,8",2016,"0,71",Cumple
41676,Santa María,6,"0,8",2016,"0,56",Cumple
41770,Suaza,6,"0,8",2016,"0,34",Cumple
41791,Tarqui,6,"0,8",2016,"0,66",Cumple
41797,Tesalia,6,"0,8",2016,"0,48",Cumple
41799,Tello,6,"0,8",2016,"0,51",Cumple
41801,Teruel,6,"0,8",2016,"0,50",Cumple
41807,Timaná,6,"0,8",2016,"0,46",Cumple
41872,Villavieja,6,"0,8",2016,"0,55",Cumple
41885,Yaguará,6,"0,8",2016,"0,60",Cumple
41006,Acevedo,6,"0,8",2017,"0,44",Cumple
41013,Agrado,6,"0,8",2017,"0,51",Cumple
41020,Algeciras,6,"0,8",2017,"0,54",Cumple
41026,Altamira,6,"0,8",2017,"0,38",Cumple
41078,Baraya,6,"0,8",2017,"0,51",Cumple
41132,Campoalegre,6,"0,8",2017,"0,61",Cumple
41206,Colombia,6,"0,8",2017,"0,41",Cumple
41244,Elías,6,"0,8",2017,"0,39",Cumple
41298,Garzón,6,"0,8",2017,"0,54",Cumple
41306,Gigante,6,"0,8",2017,"0,43",Cumple
41319,Guadalupe,6,"0,8",2017,"0,41",Cumple
41349,Hobo,6,"0,8",2017,"0,37",Cumple
41357,Íquira,6,"0,8",2017,"0,59",Cumple
41359,Isnos,6,"0,8",2017,"0,69",Cumple
41378,La Argentina,6,"0,8",2017,"0,58",Cumple
41396,La Plata,6,"0,8",2017,"0,50",Cumple
41483,Nátaga,6,"0,8",2017,"0,50",Cumple
41503,Oporapa,6,"0,8",2017,"0,53",Cumple
41518,Paicol,6,"0,8",2017,"0,43",Cumple
41524,Palermo,6,"0,8",2017,"0,36",Cumple
41530,Palestina,6,"0,8",2017,"0,49",Cumple
41548,Pital,6,"0,8",2017,"0,51",Cumple
41615,Rivera,6,"0,8",2017,"0,41",Cumple
41660,Saladoblanco,6,"0,8",2017,"0,61",Cumple
41668,San Agustín,6,"0,8",2017,"0,60",Cumple
41676,Santa María,6,"0,8",2017,"0,52",Cumple
41770,Suaza,6,"0,8",2017,"0,30",Cumple
41791,Tarqui,6,"0,8",2017,"0,63",Cumple
41797,Tesalia,6,"0,8",2017,"0,52",Cumple
41799,Tello,6,"0,8",2017,"0,54",Cumple
41801,Teruel,6,"0,8",2017,"0,50",Cumple
41807,Timaná,6,"0,8",2017,"0,44",Cumple
41872,Villavieja,6,"0,8",2017,"0,43",Cumple
41885,Yaguará,6,"0,8",2017,"0,74",Cumple
41006,Acevedo,6,"0,8",2018,"0,50",Cumple
41013,Agrado,6,"0,8",2018,"0,57",Cumple
41016,Aipe,6,"0,8",2018,"0,52",Cumple
41020,Algeciras,6,"0,8",2018,"0,58",Cumple
41026,Altamira,6,"0,8",2018,"0,43",Cumple
41078,Baraya,6,"0,8",2018,"0,56",Cumple
41132,Campoalegre,6,"0,8",2018,"0,67",Cumple
41206,Colombia,6,"0,8",2018,"0,45",Cumple
41244,Elías,6,"0,8",2018,"0,49",Cumple
41298,Garzón,6,"0,8",2018,"0,67",Cumple
41306,Gigante,6,"0,8",2018,"0,58",Cumple
41319,Guadalupe,6,"0,8",2018,"0,50",Cumple
41349,Hobo,6,"0,8",2018,"0,42",Cumple
41357,Íquira,6,"0,8",2018,"0,65",Cumple
41359,Isnos,6,"0,8",2018,"0,69",Cumple
41378,La Argentina,6,"0,8",2018,"0,62",Cumple
41396,La Plata,6,"0,8",2018,"0,54",Cumple
41483,Nátaga,6,"0,8",2018,"0,45",Cumple
41503,Oporapa,6,"0,8",2018,"0,46",Cumple
41518,Paicol,6,"0,8",2018,"0,36",Cumple
41524,Palermo,6,"0,8",2018,"0,31",Cumple
41530,Palestina,6,"0,8",2018,"0,51",Cumple
41548,Pital,6,"0,8",2018,"0,57",Cumple
41615,Rivera,6,"0,8",2018,"0,48",Cumple
41660,Saladoblanco,6,"0,8",2018,"0,66",Cumple
41668,San Agustín,6,"0,8",2018,"0,62",Cumple
41676,Santa María,6,"0,8",2018,"0,64",Cumple
41770,Suaza,6,"0,8",2018,"0,31",Cumple
41791,Tarqui,6,"0,8",2018,"0,75",Cumple
41797,Tesalia,6,"0,8",2018,"0,45",Cumple
41799,Tello,6,"0,8",2018,"0,63",Cumple
41801,Teruel,6,"0,8",2018,"0,59",Cumple
41807,Timaná,6,"0,8",2018,"0,47",Cumple
41872,Villavieja,6,"0,8",2018,"0,51",Cumple
41885,Yaguará,6,"0,8",2018,"0,65",Cumple
41006,Acevedo,6,"0,8",2019,"0,50",Cumple
41013,Agrado,6,"0,8",2019,"0,48",Cumple
41016,Aipe,6,"0,8",2019,"0,70",Cumple
41020,Algeciras,6,"0,8",2019,"0,58",Cumple
41026,Altamira,6,"0,8",2019,"0,46",Cumple
41078,Baraya,6,"0,8",2019,"0,65",Cumple
41132,Campoalegre,6,"0,8",2019,"0,63",Cumple
41206,Colombia,6,"0,8",2019,"0,44",Cumple
41244,Elías,6,"0,8",2019,"0,41",Cumple
41298,Garzón,6,"0,8",2019,"0,72",Cumple
41306,Gigante,6,"0,8",2019,"0,52",Cumple
41319,Guadalupe,6,"0,8",2019,"0,50",Cumple
41349,Hobo,6,"0,8",2019,"0,40",Cumple
41357,Íquira,6,"0,8",2019,"0,56",Cumple
41359,Isnos,6,"0,8",2019,"0,65",Cumple
41378,La Argentina,6,"0,8",2019,"0,58",Cumple
41396,La Plata,6,"0,8",2019,"0,49",Cumple
41483,Nátaga,6,"0,8",2019,"0,49",Cumple
41503,Oporapa,6,"0,8",2019,"0,46",Cumple
41518,Paicol,6,"0,8",2019,"0,43",Cumple
41524,Palermo,6,"0,8",2019,"0,29",Cumple
41530,Palestina,6,"0,8",2019,"0,49",Cumple
41548,Pital,6,"0,8",2019,"0,62",Cumple
41615,Rivera,6,"0,8",2019,"0,54",Cumple
41660,Saladoblanco,6,"0,8",2019,"0,58",Cumple
41668,San Agustín,6,"0,8",2019,"0,58",Cumple
41676,Santa María,6,"0,8",2019,"0,74",Cumple
41770,Suaza,6,"0,8",2019,"0,33",Cumple
41791,Tarqui,6,"0,8",2019,"0,59",Cumple
41797,Tesalia,6,"0,8",2019,"0,52",Cumple
41799,Tello,6,"0,8",2019,"0,57",Cumple
41801,Teruel,6,"0,8",2019,"0,61",Cumple
41807,Timaná,6,"0,8",2019,"0,47",Cumple
41872,Villavieja,6,"0,8",2019,"0,44",Cumple
41885,Yaguará,6,"0,8",2019,"0,65",Cumple
41006,Acevedo,6,"0,8",2020,"0,42",Cumple
41013,Agrado,6,"0,8",2020,"0,46",Cumple
41016,Aipe,6,"0,8",2020,"0,66",Cumple
41020,Algeciras,6,"0,8",2020,"0,55",Cumple
41026,Altamira,6,"0,8",2020,"0,45",Cumple
41078,Baraya,6,"0,8",2020,"0,52",Cumple
41132,Campoalegre,6,"0,8",2020,"0,64",Cumple
41206,Colombia,6,"0,8",2020,"0,40",Cumple
41244,Elías,6,"0,8",2020,"0,49",Cumple
41298,Garzón,6,"0,8",2020,"0,66",Cumple
41306,Gigante,6,"0,8",2020,"0,45",Cumple
41319,Guadalupe,6,"0,8",2020,"0,42",Cumple
41349,Hobo,6,"0,8",2020,"0,40",Cumple
41357,Íquira,6,"0,8",2020,"0,52",Cumple
41359,Isnos,6,"0,8",2020,"0,42",Cumple
41378,La Argentina,6,"0,8",2020,"0,63",Cumple
41396,La Plata,6,"0,8",2020,"0,48",Cumple
41483,Nátaga,6,"0,8",2020,"0,52",Cumple
41503,Oporapa,6,"0,8",2020,"0,53",Cumple
41518,Paicol,6,"0,8",2020,"0,48",Cumple
41524,Palermo,6,"0,8",2020,"0,30",Cumple
41530,Palestina,6,"0,8",2020,"0,57",Cumple
41548,Pital,6,"0,8",2020,"0,51",Cumple
41615,Rivera,6,"0,8",2020,"0,45",Cumple
41660,Saladoblanco,6,"0,8",2020,"0,65",Cumple
41668,San Agustín,6,"0,8",2020,"0,58",Cumple
41676,Santa María,6,"0,8",2020,"0,66",Cumple
41770,Suaza,6,"0,8",2020,"0,33",Cumple
41791,Tarqui,6,"0,8",2020,"0,60",Cumple
41797,Tesalia,6,"0,8",2020,"0,48",Cumple
41799,Tello,6,"0,8",2020,"0,68",Cumple
41801,Teruel,6,"0,8",2020,"0,62",Cumple
41807,Timaná,6,"0,8",2020,"0,50",Cumple
41872,Villavieja,6,"0,8",2020,"0,55",Cumple
41885,Yaguará,6,"0,8",2020,"0,57",Cumple
41016,Aipe,6,"0,8",2017,"0,81",No Cumple
41001,Neiva,1,"0,65",2016,"0,54",Cumple
41551,Pitalito,4,"0,8",2016,"0,39",Cumple
41001,Neiva,1,"0,65",2017,"0,56",Cumple
41551,Pitalito,4,"0,8",2017,"0,49",Cumple
41001,Neiva,1,"0,65",2018,"0,57",Cumple
41551,Pitalito,4,"0,8",2018,"0,54",Cumple
41001,Neiva,1,"0,65",2019,"0,57",Cumple
41551,Pitalito,4,"0,8",2019,"0,52",Cumple
41001,Neiva,1,"0,65",2020,"0,63",Cumple
41551,Pitalito,4,"0,8",2020,"0,59",Cumple
