Código DANE,Municipio,Categoría,Límite %,VIGENCIA,INDICADOR,Estado del indicador
41006,Acevedo,6,"0,8",2016,"0,4648",Cumple
41013,Agrado,6,"0,8",2016,"0,4631",Cumple
41016,Aipe,6,"0,8",2016,"0,6432",Cumple
41020,Algeciras,6,"0,8",2016,"0,5857",Cumple
41026,Altamira,6,"0,8",2016,"0,3564",Cumple
41078,Baraya,6,"0,8",2016,"0,5869",Cumple
41132,Campoalegre,6,"0,8",2016,"0,6228",Cumple
41206,Colombia,6,"0,8",2016,"0,4229",Cumple
41244,Elías,6,"0,8",2016,"0,5572",Cumple
41298,Garzón,6,"0,8",2016,"0,5418",Cumple
41306,Gigante,6,"0,8",2016,"0,2946",Cumple
41319,Guadalupe,6,"0,8",2016,"0,4819",Cumple
41349,Hobo,6,"0,8",2016,"0,3708",Cumple
41357,Íquira,6,"0,8",2016,"0,7702",Cumple
41359,Isnos,6,"0,8",2016,"0,6352",Cumple
41378,La Argentina,6,"0,8",2016,"0,5680",Cumple
41396,La Plata,6,"0,8",2016,"0,5198",Cumple
41483,Nátaga,6,"0,8",2016,"0,4966",Cumple
41503,Oporapa,6,"0,8",2016,"0,4873",Cumple
41518,Paicol,6,"0,8",2016,"0,3608",Cumple
41524,Palermo,6,"0,8",2016,"0,3102",Cumple
41530,Palestina,6,"0,8",2016,"0,5135",Cumple
41548,Pital,6,"0,8",2016,"0,4883",Cumple
41615,Rivera,6,"0,8",2016,"0,4552",Cumple
41660,Saladoblanco,6,"0,8",2016,"0,6950",Cumple
41668,San Agustín,6,"0,8",2016,"0,7075",Cumple
41676,Santa María,6,"0,8",2016,"0,5570",Cumple
41770,Suaza,6,"0,8",2016,"0,3373",Cumple
41791,Tarqui,6,"0,8",2016,"0,6643",Cumple
41797,Tesalia,6,"0,8",2016,"0,4831",Cumple
41799,Tello,6,"0,8",2016,"0,5079",Cumple
41801,Teruel,6,"0,8",2016,"0,5002",Cumple
41807,Timaná,6,"0,8",2016,"0,4584",Cumple
41872,Villavieja,6,"0,8",2016,"0,5479",Cumple
41885,Yaguará,6,"0,8",2016,"0,6036",Cumple
41006,Acevedo,6,"0,8",2017,"0,4397",Cumple
41013,Agrado,6,"0,8",2017,"0,5125",Cumple
41020,Algeciras,6,"0,8",2017,"0,5393",Cumple
41026,Altamira,6,"0,8",2017,"0,3776",Cumple
41078,Baraya,6,"0,8",2017,"0,5131",Cumple
41132,Campoalegre,6,"0,8",2017,"0,6079",Cumple
41206,Colombia,6,"0,8",2017,"0,4130",Cumple
41244,Elías,6,"0,8",2017,"0,3908",Cumple
41298,Garzón,6,"0,8",2017,"0,5357",Cumple
41306,Gigante,6,"0,8",2017,"0,4309",Cumple
41319,Guadalupe,6,"0,8",2017,"0,4068",Cumple
41349,Hobo,6,"0,8",2017,"0,3708",Cumple
41357,Íquira,6,"0,8",2017,"0,5901",Cumple
41359,Isnos,6,"0,8",2017,"0,6891",Cumple
41378,La Argentina,6,"0,8",2017,"0,5820",Cumple
41396,La Plata,6,"0,8",2017,"0,5030",Cumple
41483,Nátaga,6,"0,8",2017,"0,5036",Cumple
41503,Oporapa,6,"0,8",2017,"0,5319",Cumple
41518,Paicol,6,"0,8",2017,"0,4303",Cumple
41524,Palermo,6,"0,8",2017,"0,3621",Cumple
41530,Palestina,6,"0,8",2017,"0,4886",Cumple
41548,Pital,6,"0,8",2017,"0,5060",Cumple
41615,Rivera,6,"0,8",2017,"0,4056",Cumple
41660,Saladoblanco,6,"0,8",2017,"0,6067",Cumple
41668,San Agustín,6,"0,8",2017,"0,6037",Cumple
41676,Santa María,6,"0,8",2017,"0,5170",Cumple
41770,Suaza,6,"0,8",2017,"0,2981",Cumple
41791,Tarqui,6,"0,8",2017,"0,6306",Cumple
41797,Tesalia,6,"0,8",2017,"0,5170",Cumple
41799,Tello,6,"0,8",2017,"0,5389",Cumple
41801,Teruel,6,"0,8",2017,"0,4994",Cumple
41807,Timaná,6,"0,8",2017,"0,4406",Cumple
41872,Villavieja,6,"0,8",2017,"0,4258",Cumple
41885,Yaguará,6,"0,8",2017,"0,7357",Cumple
41006,Acevedo,6,"0,8",2018,"0,5007",Cumple
41013,Agrado,6,"0,8",2018,"0,5652",Cumple
41016,Aipe,6,"0,8",2018,"0,5180",Cumple
41020,Algeciras,6,"0,8",2018,"0,5834",Cumple
41026,Altamira,6,"0,8",2018,"0,4259",Cumple
41078,Baraya,6,"0,8",2018,"0,5638",Cumple
41132,Campoalegre,6,"0,8",2018,"0,6677",Cumple
41206,Colombia,6,"0,8",2018,"0,4493",Cumple
41244,Elías,6,"0,8",2018,"0,4874",Cumple
41298,Garzón,6,"0,8",2018,"0,6653",Cumple
41306,Gigante,6,"0,8",2018,"0,5764",Cumple
41319,Guadalupe,6,"0,8",2018,"0,5014",Cumple
41349,Hobo,6,"0,8",2018,"0,4232",Cumple
41357,Íquira,6,"0,8",2018,"0,6487",Cumple
41359,Isnos,6,"0,8",2018,"0,6925",Cumple
41378,La Argentina,6,"0,8",2018,"0,6172",Cumple
41396,La Plata,6,"0,8",2018,"0,5380",Cumple
41483,Nátaga,6,"0,8",2018,"0,4521",Cumple
41503,Oporapa,6,"0,8",2018,"0,4569",Cumple
41518,Paicol,6,"0,8",2018,"0,3576",Cumple
41524,Palermo,6,"0,8",2018,"0,3088",Cumple
41530,Palestina,6,"0,8",2018,"0,5097",Cumple
41548,Pital,6,"0,8",2018,"0,5738",Cumple
41615,Rivera,6,"0,8",2018,"0,4831",Cumple
41660,Saladoblanco,6,"0,8",2018,"0,6647",Cumple
41668,San Agustín,6,"0,8",2018,"0,6195",Cumple
41676,Santa María,6,"0,8",2018,"0,6435",Cumple
41770,Suaza,6,"0,8",2018,"0,3115",Cumple
41791,Tarqui,6,"0,8",2018,"0,7494",Cumple
41797,Tesalia,6,"0,8",2018,"0,4462",Cumple
41799,Tello,6,"0,8",2018,"0,6253",Cumple
41801,Teruel,6,"0,8",2018,"0,5919",Cumple
41807,Timaná,6,"0,8",2018,"0,4693",Cumple
41872,Villavieja,6,"0,8",2018,"0,5125",Cumple
41885,Yaguará,6,"0,8",2018,"0,6511",Cumple
41006,Acevedo,6,"0,8",2019,"0,5016",Cumple
41013,Agrado,6,"0,8",2019,"0,4841",Cumple
