Código DANE,Municipio,Categoría,Límite %,VIGENCIA,INDICADOR,Estado del indicador
41006,Acevedo,6,"0,8",2016,"46,48 %",Cumple
41013,Agrado,6,"0,8",2016,"46,31 %",Cumple
41016,Aipe,6,"0,8",2016,"64,32 %",Cumple
41020,Algeciras,6,"0,8",2016,"58,57 %",Cumple
41026,Altamira,6,"0,8",2016,"35,64 %",Cumple
41078,Baraya,6,"0,8",2016,"58,69 %",Cumple
41132,Campoalegre,6,"0,8",2016,"62,28 %",Cumple
41206,Colombia,6,"0,8",2016,"42,29 %",Cumple
41244,Elías,6,"0,8",2016,"55,72 %",Cumple
41298,Garzón,6,"0,8",2016,"54,18 %",Cumple
41306,Gigante,6,"0,8",2016,"29,46 %",Cumple
41319,Guadalupe,6,"0,8",2016,"48,19 %",Cumple
41349,Hobo,6,"0,8",2016,"37,08 %",Cumple
41357,Íquira,6,"0,8",2016,"77,02 %",Cumple
41359,Isnos,6,"0,8",2016,"63,52 %",Cumple
41378,La Argentina,6,"0,8",2016,"56,80 %",Cumple
41396,La Plata,6,"0,8",2016,"51,98 %",Cumple
41483,Nátaga,6,"0,8",2016,"49,66 %",Cumple
41503,Oporapa,6,"0,8",2016,"48,73 %",Cumple
41518,Paicol,6,"0,8",2016,"36,08 %",Cumple
41524,Palermo,6,"0,8",2016,"31,02 %",Cumple
41530,Palestina,6,"0,8",2016,"51,35 %",Cumple
41548,Pital,6,"0,8",2016,"48,83 %",Cumple
41615,Rivera,6,"0,8",2016,"45,52 %",Cumple
41660,Saladoblanco,6,"0,8",2016,"69,50 %",Cumple
41668,San Agustín,6,"0,8",2016,"70,75 %",Cumple
41676,Santa María,6,"0,8",2016,"55,70 %",Cumple
41770,Suaza,6,"0,8",2016,"33,73 %",Cumple
41791,Tarqui,6,"0,8",2016,"66,43 %",Cumple
41797,Tesalia,6,"0,8",2016,"48,31 %",Cumple
41799,Tello,6,"0,8",2016,"50,79 %",Cumple
41801,Teruel,6,"0,8",2016,"50,02 %",Cumple
