DANE,Municipio,Vigencia,Grupo dotaciones,MDM 2016,CALIFICACION
41676,SANTA MARÍA,2016,G4,"45,8084432",Medio
41668,SAN AGUSTÍN,2016,G4,"47,17721054",Medio
41013,AGRADO,2016,G3,"48,62532226",Medio
41799,TELLO,2016,G3,"53,11035206",Medio
41518,PAICOL,2016,G2,"50,1534297",Medio
41872,VILLAVIEJA,2016,G3,"47,3637954",Medio
41396,LA PLATA,2016,G4,"50,95598911",Medio
41078,BARAYA,2016,G3,"51,99116328",Medio
41026,ALTAMIRA,2016,G2,"52,85760497",Medio
41319,GUADALUPE,2016,G5,"50,16599645",Medio
41483,NÁTAGA,2016,G4,"45,64812257",Medio
41298,GARZÓN,2016,G3,"45,68282887",Medio
41551,PITALITO,2016,G2,"49,79914073",Medio
41524,PALERMO,2016,G1,"50,2877488",Medio
41357,IQUIRA,2017,G5,"45,71542017",Medio
41503,OPORAPA,2017,G5,"48,37869868",Medio
41548,PITAL,2017,G4,"50,80303905",Medio
41660,SALADOBLANCO,2017,G4,"51,21629072",Medio
41676,SANTA MARÍA,2017,G4,"50,70532639",Medio
41801,TERUEL,2017,G4,"54,40014987",Medio
41206,COLOMBIA,2017,G5,"47,64278632",Medio
41791,TARQUI,2017,G5,"53,54786609",Medio
41668,SAN AGUSTÍN,2017,G4,"49,62459169",Medio
41006,ACEVEDO,2017,G5,"46,56251654",Medio
41359,ISNOS,2017,G5,"45,74182662",Medio
41530,PALESTINA,2017,G5,"45,4570681",Medio
41799,TELLO,2017,G3,"45,70813317",Medio
41020,ALGECIRAS,2017,G4,"47,00341217",Medio
41872,VILLAVIEJA,2017,G3,"52,63481838",Medio
41797,TESALIA,2017,G1,"53,85631341",Medio
41378,LA ARGENTINA,2017,G5,"45,14028763",Medio
41807,TIMANÁ,2017,G4,"50,4880831",Medio
41132,CAMPOALEGRE,2017,G2,"54,77471727",Medio
41396,LA PLATA,2017,G4,"53,31439129",Medio
41078,BARAYA,2017,G3,"51,22544595",Medio
41244,ELÍAS,2017,G4,"50,86253689",Medio
41770,SUAZA,2017,G4,"49,7818805",Medio
41319,GUADALUPE,2017,G5,"52,13080499",Medio
41483,NÁTAGA,2017,G4,"50,28019185",Medio
41298,GARZÓN,2017,G3,"50,66985624",Medio
41016,AIPE,2017,G2,"49,08711047",Medio
41357,IQUIRA,2018,G5,"46,83749877",Medio
41503,OPORAPA,2018,G5,"50,80990146",Medio
41548,PITAL,2018,G4,"48,45376083",Medio
41660,SALADOBLANCO,2018,G4,"51,97325191",Medio
41676,SANTA MARÍA,2018,G4,"49,70619564",Medio
41801,TERUEL,2018,G4,"53,72906548",Medio
41791,TARQUI,2018,G5,"52,74580363",Medio
