DANE,MUNICIPIO,VIGENCIA,EFICACIA 2016,CALIFICACIÓN 
41006,Acevedo,2016,"99,70",Sobresaliente
41013,Agrado,2016,"83,20",Sobresaliente
41016,Aipe,2016,"97,60",Sobresaliente
41020,Algeciras,2016,"95,00",Sobresaliente
41026,Altamira,2016,"98,10",Sobresaliente
41078,Paicol,2016,"100,00",Sobresaliente
41132,Campoalegre,2016,"87,00",Sobresaliente
41206,Colombia,2016,"98,50",Sobresaliente
41244,Elías,2016,"83,70",Sobresaliente
41298,Garzón,2016,"99,60",Sobresaliente
41306,Gigante,2016,"98,60",Sobresaliente
41319,Guadalupe,2016,"94,70",Sobresaliente
41349,Hobo,2016,"98,80",Sobresaliente
41359,Isnos,2016,"95,90",Sobresaliente
41378,La Argentina,2016,"96,90",Sobresaliente
41396,La Plata,2016,"86,70",Sobresaliente
41483,Nátaga,2016,"81,60",Sobresaliente
41503,Oporapa,2016,"98,60",Sobresaliente
41518,Baraya,2016,"100,00",Sobresaliente
41524,Palermo,2016,"92,10",Sobresaliente
41530,Palestina,2016,"88,70",Sobresaliente
41548,Pital,2016,"93,90",Sobresaliente
41551,Pitalito,2016,"99,70",Sobresaliente
41615,Rivera,2016,"96,60",Sobresaliente
41660,Saladoblanco,2016,"99,20",Sobresaliente
41668,San Agustín,2016,"81,20",Sobresaliente
41676,Santa María,2016,"91,20",Sobresaliente
41770,Suaza,2016,"99,30",Sobresaliente
41791,Tarqui,2016,"98,40",Sobresaliente
41797,Tesalia,2016,"98,90",Sobresaliente
41799,Tello,2016,"94,60",Sobresaliente
41801,Teruel,2016,"82,40",Sobresaliente
41807,Timaná,2016,"81,40",Sobresaliente
41872,Villavieja,2016,"95,80",Sobresaliente
41885,Yaguará,2016,"90,70",Sobresaliente
41001,Neiva,2017,"86,43",Sobresaliente
41006,Acevedo,2017,"99,87",Sobresaliente
41013,Agrado,2017,"94,47",Sobresaliente
41020,Algeciras,2017,"86,14",Sobresaliente
41026,Altamira,2017,"99,74",Sobresaliente
41078,Paicol,2017,"94,98",Sobresaliente
41206,Colombia,2017,"93,56",Sobresaliente
41244,Elías,2017,"91,69",Sobresaliente
41298,Garzón,2017,"99,95",Sobresaliente
41306,Gigante,2017,"98,84",Sobresaliente
41349,Hobo,2017,"90,73",Sobresaliente
41357,Íquira,2017,"95,97",Sobresaliente
41359,Isnos,2017,"93,83",Sobresaliente
41378,La Argentina,2017,"95,55",Sobresaliente
41396,La Plata,2017,"90,04",Sobresaliente
41483,Nátaga,2017,"97,22",Sobresaliente
41503,Oporapa,2017,"99,58",Sobresaliente
41518,Baraya,2017,"98,50",Sobresaliente
41524,Palermo,2017,"96,01",Sobresaliente
41530,Palestina,2017,"91,97",Sobresaliente
41548,Pital,2017,"80,25",Sobresaliente
41551,Pitalito,2017,"99,77",Sobresaliente
41615,Rivera,2017,"96,31",Sobresaliente
41660,Saladoblanco,2017,"99,94",Sobresaliente
41668,San Agustín,2017,"85,25",Sobresaliente
41676,Santa María,2017,"89,66",Sobresaliente
41770,Suaza,2017,"99,22",Sobresaliente
41791,Tarqui,2017,"99,84",Sobresaliente
41797,Tesalia,2017,"86,83",Sobresaliente
41799,Tello,2017,"85,21",Sobresaliente
41801,Teruel,2017,"85,38",Sobresaliente
41807,Timaná,2017,"85,18",Sobresaliente
41872,Villavieja,2017,"87,66",Sobresaliente
41885,Yaguará,2017,"85,85",Sobresaliente
41001,Neiva,2018,"85,70",Sobresaliente
41006,Acevedo,2018,"97,30",Sobresaliente
41013,Agrado,2018,"100,00",Sobresaliente
41020,Algeciras,2018,"83,70",Sobresaliente
41026,Altamira,2018,"97,40",Sobresaliente
41078,Paicol,2018,"94,10",Sobresaliente
41132,Campoalegre,2018,"83,60",Sobresaliente
41206,Colombia,2018,"93,60",Sobresaliente
41244,Elías,2018,"83,60",Sobresaliente
41298,Garzón,2018,"99,70",Sobresaliente
41306,Gigante,2018,"95,60",Sobresaliente
41319,Guadalupe,2018,"92,50",Sobresaliente
41349,Hobo,2018,"93,60",Sobresaliente
41357,Íquira,2018,"83,40",Sobresaliente
41359,Isnos,2018,"87,90",Sobresaliente
41378,La Argentina,2018,"92,00",Sobresaliente
41396,La Plata,2018,"84,40",Sobresaliente
41483,Nátaga,2018,"100,00",Sobresaliente
41503,Oporapa,2018,"93,90",Sobresaliente
41518,Baraya,2018,"99,40",Sobresaliente
41524,Palermo,2018,"91,30",Sobresaliente
41530,Palestina,2018,"94,10",Sobresaliente
41548,Pital,2018,"89,20",Sobresaliente
41551,Pitalito,2018,"96,60",Sobresaliente
41615,Rivera,2018,"92,00",Sobresaliente
41660,Saladoblanco,2018,"86,50",Sobresaliente
41668,San Agustín,2018,"92,00",Sobresaliente
41676,Santa María,2018,"81,40",Sobresaliente
41770,Suaza,2018,"91,50",Sobresaliente
41791,Tarqui,2018,"93,80",Sobresaliente
41797,Tesalia,2018,"89,10",Sobresaliente
41799,Tello,2018,"87,90",Sobresaliente
41801,Teruel,2018,"82,90",Sobresaliente
41807,Timaná,2018,"91,10",Sobresaliente
41872,Villavieja,2018,"88,30",Sobresaliente
41006,Acevedo,2019,"96,30",Sobresaliente
41013,Agrado,2019,"100,00",Sobresaliente
41026,Altamira,2019,"90,20",Sobresaliente
41078,Paicol,2019,"97,20",Sobresaliente
41206,Colombia,2019,"97,00",Sobresaliente
41359,Isnos,2019,"97,00",Sobresaliente
41378,La Argentina,2019,"88,50",Sobresaliente
41396,La Plata,2019,"85,10",Sobresaliente
41483,Nátaga,2019,"93,60",Sobresaliente
41503,Oporapa,2019,"85,10",Sobresaliente
41518,Baraya,2019,"90,60",Sobresaliente
41530,Palestina,2019,"94,70",Sobresaliente
41551,Pitalito,2019,"94,00",Sobresaliente
41615,Rivera,2019,"89,00",Sobresaliente
41668,San Agustín,2019,"95,20",Sobresaliente
41770,Suaza,2019,"81,50",Sobresaliente
41791,Tarqui,2019,"97,20",Sobresaliente
41797,Tesalia,2019,"83,20",Sobresaliente
41799,Tello,2019,"81,80",Sobresaliente
41807,Timaná,2019,"96,50",Sobresaliente
41872,Villavieja,2019,"84,00",Sobresaliente
41885,Yaguará,2019,"81,80",Sobresaliente
41001,Neiva,2016,"40,30",Bajo
41357,Íquira,2016,"78,90",Satisfactorio
41016,Aipe,2017,"64,87",Medio
41132,Campoalegre,2017,"75,50",Satisfactorio
41319,Guadalupe,2017,"72,72",Satisfactorio
41016,Aipe,2018,"68,10",Medio
41885,Yaguará,2018,"74,90",Satisfactorio
41001,Neiva,2019,"69,10",Medio
41016,Aipe,2019,"73,80",Satisfactorio
41020,Algeciras,2019,"78,70",Satisfactorio
41132,Campoalegre,2019,"75,60",Satisfactorio
41244,Elías,2019,"72,30",Satisfactorio
41298,Garzón,2019,"77,90",Satisfactorio
41306,Gigante,2019,"14,50",Crítico
41319,Guadalupe,2019,"77,30",Satisfactorio
41349,Hobo,2019,"78,70",Satisfactorio
41357,Íquira,2019,"21,80",Crítico
41524,Palermo,2019,"79,30",Satisfactorio
41548,Pital,2019,"58,20",Bajo
41660,Saladoblanco,2019,"66,50",Medio
