CODIGO DANE,MUNICIPIOS,ENTIDAD ADIMINSTRADORA,Total Suscriptores,Residencial Suscriptores,B A S U R A S  Capacidad   del vehiculo M3,Kgs/día B A S U R A S  Producida,P.P.C.  Kgs/día B A S U R A S  Producida,Kgs/día Recolectada B A S U R A S ,Cobertura % Recolectada B A S U R A S 
41026,Altamira,EMSERALTAMIRA,935,909,"20,00",19000,0,19000,100
41006,Neiva,,0,0,"0,00",0,0,0,0
41013,Acevedo,EMPACEVEDO,1.836,1339,"10,00",1441,0,1186,97
41020,Aipe,,0,0,"0,00",0,0,0,0
41026,Algeciras,,0,0,"0,00",0,0,0,0
41078,Altamira,,0,0,"0,00",0,0,0,0
41132,Baraya,,0,0,"0,00",0,0,0,0
41206,Campoalegre,,0,0,"0,00",0,0,0,0
41298,Elías,Alcaldía municipal,580,580,"550,00",580,0,580,100
41319,Gigante,EMPUGIGANTE,3.362,3115,"122,00",0,0,0,0
41349,Guadalupe,EMPUG S.A ESP,1.574,1514,"12,23",7000,0,8500,100
41357,Hobo,EMUSERHOBO S.A. E.S.P.,1.898,1848,10 Ton,"2,88",0,"2,88",99
41378,Isnos,,0,0,"0,00",0,0,0,0
41396,La Argentina,Empuarg S.A ESP,1.550,1531,12 Ton,946,0,946,98
41001,Nátaga,Alcaldía municipal,634,634,"6,00",3904,0,3904,90
41503,Oporapa,Alcaldía municipal,523,523,"6,00",0,0,0,90
41518,Paicol,,0,0,"0,00",0,0,0,0
41530,Palestina,,0,0,"0,00",0,0,0,0
41551,Pitalito,,0,0,"0,00",0,0,0,0
41615,Rivera,Empresa de Servicios Públicos de Rivera,3.378,3310,"45,00",17020,0,17020,100
41660,Saladoblanco,,0,0,"0,00",0,0,0,0
41668,San Agustín,,0,0,"0,00",0,0,0,0
41676,Santa María,Orquidea de Oro EAT,1.102,0,"7,00",1633,0,0,100
41770,Suaza,EMPUSUAZA,1.966,1204,"6,00",373,0,293,78
41797,Tesalia,EMPTESALIA S.A. E.S.P.,2.233,2127,15 Ton,6217,0,5375,99
41807,Timaná,EMPTIMANA,2.670,2670,"12,23",36000,0,36000,95
41872,Villavieja,,0,0,"0,00",0,0,0,0
41006,Neiva  1/,,0,0,"0,00",0,0,0,0
41013,Acevedo,EMPACEVEDO,1.770,1554,"6,00",5066,0,3900,97
41026,Algeciras   1/,,0,0,"0,00",0,0,0,0
41132,Baraya   1/,,0,0,"0,00",0,0,0,0
41244,Colombia     1/,,0,0,"0,00",0,0,0,0
41319,Gigante,EMPUGIGANTE,3.168,2950,"12,23",8635,0,8635,100
41349,Guadalupe,EMPUG S.A ESP,1.554,1492,"6,00",0,0,0,0
41396,La Argentina,Empuarg S.A ESP,1.498,1477,"12,00",960,0,865,100
41483,La Plata    1/,,0,0,"0,00",0,0,0,0
41001,Nátaga,Alcaldía municipal,592,553,"6,00",0,0,0,"91,64"
41530,Palestina,Alcaldía municipal,538,503,"5,00",1542,0,1542,100
41551,Pitalito         1/,,0,0,"0,00",0,0,0,0
41660,Saladoblanco,EMSEPUSA,502,489,"6,00",1390,0,1390,0
41676,Santa María   1/,,0,0,"0,00",0,0,0,0
41770,Suaza,EMPUSUAZA,1.936,1908,"22,00",4507,0,6100,"99,84"
41797,Tesalia,EMPTESALIA S.A. E.S.P.,2.135,2127,"6,00",5235,0,4216,99
41807,Timaná,EMPTIMANA,2.175,2063,"7,00",12250,0,12250,100
41872,Villavieja,Empresas Públicas de Villavieja,768,755,"6,00",0,0,1729,100
41885,Yaguará,Empresas Públicas AAA de Yaguará S.A. E.S.P.,2.076,1970,"50,00",2181,0,2181,100
41006,Neiva,Empresas Públicas de Neiva  E.S.P.,92.496,85357,"0,00",0,0,0,94
41013,Acevedo       1/,0,0,0,"0,00",0,0,0,0
41016,Agrado,Aguas y Aseo de El Pital y Agrado S.A. E.S.P.,1.596,1551,"12,00",4000,0,4000,100
41026,Algeciras,Eseral S.A.  E.S.P.,2.571,2517,"10,00",4580,0,0,100
41132,Baraya,EMPUBARAYA,1.109,1055,"6,00",2360,0,2360,96
41244,Colombia     1/,0,0,0,"0,00",0,0,0,0
41298,Elías           1/,0,0,0,"0,00",0,0,0,0
41349,Guadalupe,EMPUG S.A ESP,1.531,1470,"9,00","0,6",0,"0,6",98
41357,Hobo           1/,0,0,0,"0,00",0,0,0,0
41359,Iquira,Empresas Públicas de Iquira,1.124,908,"7,00",1400,0,1400,100
41378,Isnos            1/,0,0,0,"0,00",0,0,0,0
41396,La Argentina,Empuarg S.A ESP,1.464,1444,"12,00",865,0,865,98
41001,Nátaga        1/,0,0,0,"0,00",0,0,0,0
41503,Oporapa,Alcaldía municipal,470,470,"6,00",0,0,3940,90
41518,Paicol          1/,Alcaldía municipal,818,0,"8,00",59910,0,59910,100
41524,Palermo       1/,0,0,0,"0,00",0,0,0,0
41530,Palestina      1/,0,0,0,"0,00",0,0,0,0
41551,Pitalito         1/,0,0,0,"0,00",0,0,0,0
41615,Rivera,Empresa de Servicios Públicos de Rivera,3.783,3565,"25,00",19210,0,19210,"99,5"
